onset	duration	outcome	house_old	chose_old	truecond	condchosen
      0	2	1	0	0	2	2
 11.071	2	1	1	1	2	2
 25.617	2	1	1	1	2	2
 33.693	2	1	0	0	2	2
 41.786	2	1	0	0	2	2
 52.378	2	0	1	1	2	2
 63.929	2	1	1	1	2	2
 75.513	2	1	0	0	2	2
 83.572	2	1	0	0	2	2
 91.665	2	1	1	1	2	2
 99.726	2	1	0	0	2	2
109.787	2	1	1	1	2	2
119.353	2	0	1	1	1	2
128.918	2	1	0	1	1	1
142.008	2	0	1	0	1	1
164.081	2	1	0	1	1	1
182.664	2	1	1	0	1	1
200.767	2	0	1	0	1	1
208.843	2	1	1	0	1	1
219.418	2	1	0	1	1	1
227.511	2	1	0	1	1	1
241.064	2	1	1	0	1	1
 250.63	2	1	1	0	1	1
260.212	2	1	0	1	1	1
268.288	2	0	1	0	1	1
 277.87	2	1	0	0	2	2
296.949	2	1	0	0	2	2
306.531	2	1	1	1	2	2
321.606	2	1	1	1	2	2
336.201	2	0	1	1	2	2
347.289	2	1	1	1	2	2
 359.37	2	0	0	1	2	1
371.104	2	1	1	1	2	2
382.158	2	1	0	0	2	2
396.737	2	1	1	1	2	2
404.813	2	1	0	0	2	2
412.906	2	0	0	0	1	2
423.498	2	1	1	1	1	2
435.082	2	0	1	1	1	2
451.662	2	0	0	1	1	1
459.755	2	0	0	0	1	2
467.848	2	0	1	1	1	2
477.927	2	1	1	0	1	1
487.525	2	1	0	1	1	1
497.107	2	1	0	1	1	1
 510.18	2	1	1	0	1	1
523.204	2	1	0	1	1	1
541.753	2	1	1	0	1	1
 553.85	2	1	1	0	1	1
565.434	2	0	0	1	1	1
575.016	2	1	0	1	1	1
590.571	2	0	1	0	2	1
598.631	2	0	1	0	2	1
612.217	2	1	0	0	2	2
621.799	2	0	0	0	2	2
631.348	2	1	1	0	2	1
639.441	2	0	0	1	2	1
665.023	2	0	1	0	2	1
674.605	2	1	0	0	2	2
682.664	2	1	1	1	2	2
692.743	2	1	0	0	2	2
707.322	2	1	1	1	2	2
 718.41	2	0	0	NaN	2	1
 730.44	2	1	1	1	2	2
742.189	2	1	1	1	2	2
764.743	2	0	1	1	2	2
772.786	2	1	1	1	2	2
780.829	2	1	0	0	2	2
791.371	2	1	0	0	2	2
802.905	2	0	1	1	1	2
 814.44	2	0	1	1	1	2
822.483	2	1	0	1	1	1
 830.51	2	1	1	0	1	1
838.553	2	0	0	1	1	1
848.599	2	1	0	1	1	1
858.147	2	1	1	0	1	1
877.706	2	1	1	0	1	1
 890.73	2	1	1	0	1	1
902.777	2	0	1	1	1	2
912.326	2	1	0	1	1	1
924.357	2	1	1	0	1	1
935.908	2	0	0	1	1	1
945.457	2	0	1	0	2	1
  953.5	2	1	0	0	2	2
964.058	2	1	0	0	2	2
972.102	2	1	1	1	2	2
985.638	2	0	1	1	2	2
1001.69	2	1	0	0	2	2
1009.73	2	1	0	0	2	2
1019.28	2	1	1	1	2	2
1038.33	2	1	1	1	2	2
1047.88	2	1	0	0	2	2
1055.92	2	1	0	0	2	2
1065.97	2	1	1	1	2	2
1080.51	2	0	0	0	1	2
1100.57	2	1	1	1	1	2
 1112.3	2	0	1	1	1	2
1123.34	2	1	0	0	1	2
1137.88	2	0	0	0	1	2
1150.94	2	1	1	0	1	1
1161.48	2	0	1	0	1	1
1173.02	2	0	0	0	1	2
1184.57	2	1	0	1	1	1
1192.61	2	1	1	0	1	1
1200.65	2	1	0	1	1	1
1215.71	2	1	1	0	1	1
1225.26	2	1	0	1	1	1
1234.79	2	0	1	0	1	1
1247.85	2	1	0	1	1	1
1260.89	2	1	1	0	1	1
1272.94	2	0	0	1	2	1
1282.49	2	0	1	0	2	1
1294.53	2	1	0	0	2	2
1306.08	2	1	1	1	2	2
1315.62	2	1	1	1	2	2
1323.66	2	0	0	0	2	2
 1334.2	2	1	0	0	2	2
1342.25	2	1	1	1	2	2
 1355.8	2	1	1	1	2	2
1365.35	2	1	0	0	2	2
 1374.9	2	1	0	0	2	2
1382.94	2	1	1	1	2	2
1392.49	2	0	0	0	1	2
1411.53	2	0	1	1	1	2
1421.08	2	0	1	0	1	1
1429.13	2	0	0	0	1	2
1439.17	2	1	1	0	1	1
1461.73	2	1	0	1	1	1
