onset	duration	outcome	house_old	chose_old	truecond	condchosen
      0	2	1	0	1	1	1
 11.055	2	0	1	NaN	1	2
  30.63	2	1	0	1	1	1
 38.723	2	1	1	0	1	1
 49.282	2	0	0	1	1	1
 60.849	2	1	1	0	1	1
 72.417	2	0	0	0	1	2
 80.493	2	1	1	0	1	1
 88.586	2	1	0	1	1	1
 96.679	2	0	1	NaN	1	2
113.243	2	1	0	1	1	1
122.826	2	1	1	NaN	1	2
135.882	2	0	0	0	1	2
148.972	2	0	1	1	1	2
161.036	2	0	1	0	1	1
170.601	2	0	0	0	1	2
191.153	2	0	1	1	1	2
200.735	2	0	0	0	1	2
208.828	2	1	0	1	1	1
219.419	2	0	1	1	1	2
227.479	2	1	1	0	1	1
247.568	2	1	0	0	1	2
257.133	2	0	1	NaN	1	2
265.177	2	0	0	NaN	1	2
274.742	2	0	0	NaN	1	2
293.805	2	1	1	0	1	1
303.387	2	1	1	0	1	1
311.464	2	0	0	0	1	2
321.558	2	1	1	0	1	1
336.154	2	0	0	0	1	2
347.241	2	0	0	0	1	2
359.322	2	1	1	0	1	1
371.039	2	1	1	0	1	1
382.127	2	0	1	0	1	1
396.705	2	1	0	1	1	1
404.749	2	1	1	0	1	1
420.337	2	1	0	1	1	1
431.904	2	1	1	0	1	1
443.472	2	1	1	0	1	1
456.545	2	0	0	0	1	2
464.621	2	0	1	1	1	2
474.716	2	1	0	0	1	2
484.265	2	1	0	1	1	1
493.814	2	0	1	0	1	1
506.904	2	0	1	1	1	2
519.977	2	1	0	0	1	2
532.025	2	1	1	0	1	1
 541.64	2	1	1	0	1	1
553.704	2	1	1	0	1	1
565.271	2	0	0	1	1	1
 574.87	2	0	1	1	1	2
582.946	2	1	0	1	1	1
593.521	2	1	1	0	1	1
601.581	2	0	0	0	1	2
615.167	2	1	0	1	1	1
631.235	2	0	1	1	1	2
639.295	2	1	1	0	1	1
 648.86	2	1	0	1	1	1
 667.94	2	0	0	0	1	2
677.505	2	1	1	0	1	1
685.598	2	1	1	0	1	1
695.676	2	1	0	1	1	1
710.272	2	0	0	1	1	1
730.327	2	1	1	0	1	1
742.027	2	0	1	1	1	2
756.573	2	0	0	0	1	2
764.616	2	1	0	1	1	1
 772.66	2	0	1	0	1	1
783.201	2	1	1	0	1	1
 803.24	2	0	0	0	1	2
811.283	2	1	1	0	1	1
819.327	2	1	0	1	1	1
 827.37	2	1	0	0	1	2
837.415	2	1	1	0	1	1
846.964	2	1	1	0	1	1
856.513	2	0	0	0	1	2
 869.57	2	1	1	0	1	1
 882.61	2	1	0	1	1	1
894.658	2	1	0	1	1	1
904.207	2	0	1	1	1	2
916.254	2	0	1	1	1	2
927.805	2	1	1	0	1	1
937.354	2	0	0	1	1	1
945.397	2	1	1	0	1	1
960.952	2	1	0	1	1	1
974.505	2	0	1	0	1	1
984.054	2	0	1	1	1	2
  998.6	2	1	0	1	1	1
1008.15	2	1	1	0	1	1
 1027.2	2	1	0	1	1	1
1036.74	2	1	0	1	1	1
1044.79	2	0	1	0	1	1
1054.82	2	0	1	0	2	1
1069.36	2	0	0	1	2	1
1080.42	2	1	1	0	2	1
1092.45	2	0	1	0	2	1
1104.16	2	1	1	1	2	2
 1115.2	2	0	0	1	2	1
1129.75	2	1	1	1	2	2
1137.79	2	0	0	NaN	2	1
1145.83	2	1	1	1	2	2
1156.38	2	1	0	0	2	2
1167.91	2	0	0	1	2	1
1184.46	2	0	1	0	2	1
 1192.5	2	1	1	1	2	2
1200.54	2	1	0	0	2	2
1210.59	2	1	0	0	2	2
1220.14	2	1	1	1	2	2
1229.69	2	1	1	1	2	2
1242.74	2	0	0	0	2	2
1255.78	2	0	0	NaN	2	1
1274.33	2	1	1	1	2	2
1286.38	2	1	0	0	1	2
1297.93	2	0	1	1	1	2
1312.49	2	0	0	0	1	2
1323.05	2	0	1	1	1	2
1331.08	2	1	0	1	1	1
1344.63	2	1	1	NaN	1	2
1354.17	2	1	0	1	1	1
1363.71	2	0	1	1	1	2
1371.76	2	1	0	1	1	1
1381.29	2	1	1	0	1	1
1406.84	2	0	0	1	1	1
1414.88	2	0	1	NaN	1	2
1424.91	2	0	0	1	1	1
1439.44	2	1	1	0	1	1
1450.49	2	1	1	1	1	2
1462.54	2	0	0	0	1	2
