onset	duration	outcome	house_old	chose_old	truecond	condchosen
      0	2	1	0	1	1	1
 11.038	2	1	1	0	1	1
  30.58	2	1	0	1	1	1
 38.623	2	0	1	0	1	1
 49.149	2	1	0	1	1	1
 60.683	2	1	1	0	1	1
 72.234	2	1	0	1	1	1
 80.277	2	1	1	0	1	1
 88.321	2	0	0	0	1	2
 96.364	2	0	1	0	1	1
112.912	2	0	0	0	1	2
122.444	2	1	1	0	1	1
135.501	2	0	0	1	2	1
148.541	2	1	1	0	2	1
160.588	2	0	1	0	2	1
170.137	2	1	0	0	2	2
190.689	2	1	1	1	2	2
200.238	2	1	0	0	2	2
208.281	2	1	0	0	2	2
218.839	2	1	1	1	2	2
226.883	2	1	1	1	2	2
246.938	2	0	0	0	2	2
256.487	2	0	1	0	2	1
264.514	2	1	0	0	2	2
274.046	2	0	0	1	2	1
293.092	2	0	1	0	2	1
302.641	2	1	1	1	2	2
310.684	2	1	0	0	2	2
 320.73	2	1	1	1	2	2
335.275	2	1	0	0	2	2
 346.33	2	1	0	0	2	2
358.377	2	0	1	1	2	2
370.079	2	0	1	NaN	2	1
  381.1	2	0	1	0	2	1
395.646	2	1	0	0	2	2
403.689	2	1	1	1	2	2
419.244	2	1	0	0	2	2
430.779	2	0	1	1	2	2
 442.33	2	1	1	1	1	2
455.386	2	0	0	0	1	2
 463.43	2	0	1	1	1	2
473.458	2	1	0	1	1	1
483.007	2	1	0	1	1	1
492.556	2	1	1	0	1	1
505.596	2	1	1	0	1	1
518.636	2	1	0	1	1	1
530.684	2	1	1	0	1	1
540.216	2	1	1	0	1	1
552.263	2	1	1	0	1	1
563.814	2	0	0	1	1	1
573.347	2	1	1	0	1	1
 581.39	2	0	0	1	2	1
591.948	2	0	1	0	2	1
599.975	2	1	0	0	2	2
613.528	2	0	0	0	2	2
629.579	2	1	1	1	2	2
637.623	2	1	1	1	2	2
647.155	2	1	0	0	2	2
666.201	2	1	0	0	2	2
 675.75	2	1	1	1	2	2
683.794	2	1	1	1	2	2
693.839	2	1	0	0	2	2
708.385	2	1	0	0	2	2
 728.44	2	0	1	1	1	2
740.125	2	0	1	1	1	2
754.671	2	1	0	1	1	1
762.714	2	0	0	1	1	1
770.757	2	0	1	1	1	2
781.283	2	1	1	0	1	1
801.321	2	1	0	1	1	1
809.348	2	0	1	0	1	1
817.391	2	0	0	0	1	2
825.435	2	1	0	1	1	1
 835.48	2	1	1	0	1	1
845.029	2	1	1	0	1	1
854.578	2	1	0	NaN	1	2
867.618	2	1	1	0	1	1
880.658	2	0	0	0	1	2
892.705	2	0	0	1	1	1
902.254	2	1	1	0	1	1
914.302	2	1	1	1	1	2
925.853	2	1	1	0	1	1
935.402	2	1	0	1	1	1
943.445	2	1	1	0	1	1
    959	2	1	0	1	1	1
972.553	2	1	1	1	2	2
982.102	2	0	1	0	2	1
996.648	2	0	0	1	2	1
 1006.2	2	1	1	1	2	2
1025.24	2	1	0	0	2	2
1034.79	2	1	0	0	2	2
1042.84	2	0	1	1	2	2
1052.88	2	1	1	1	2	2
1067.43	2	0	0	1	2	1
1078.48	2	1	1	1	2	2
1090.53	2	1	1	1	2	2
1102.21	2	0	1	NaN	2	1
1113.24	2	1	0	0	2	2
1127.78	2	1	1	1	2	2
1135.82	2	0	0	0	2	2
1143.87	2	0	1	1	1	2
1154.41	2	0	0	1	1	1
1165.94	2	0	0	0	1	2
1182.49	2	0	1	1	1	2
1190.53	2	1	1	0	1	1
1198.58	2	1	0	1	1	1
1208.62	2	1	0	0	1	2
1218.16	2	1	1	0	1	1
 1227.7	2	1	1	0	1	1
1240.76	2	1	0	1	1	1
 1253.8	2	1	0	1	1	1
1272.35	2	1	1	0	1	1
 1284.4	2	1	0	1	1	1
1295.95	2	0	1	0	1	1
1310.51	2	1	0	1	1	1
1321.07	2	0	1	0	2	1
1329.11	2	1	0	0	2	2
1342.67	2	0	1	0	2	1
1352.21	2	1	0	0	2	2
1361.75	2	1	1	1	2	2
1369.77	2	0	0	0	2	2
1379.31	2	0	1	0	2	1
1404.84	2	1	0	0	2	2
1412.88	2	1	1	1	2	2
1422.91	2	1	0	0	2	2
1437.46	2	0	1	1	2	2
1448.51	2	1	1	1	2	2
1460.56	2	1	0	0	2	2
