onset	duration	outcome	house_old	chose_old	truecond	condchosen
      0	2	1	0	1	1	1
 11.038	2	1	1	0	1	1
  30.58	2	1	0	1	1	1
 38.623	2	0	1	0	1	1
 49.148	2	1	0	1	1	1
 60.666	2	0	1	NaN	1	2
 72.201	2	1	0	1	1	1
 80.244	2	0	1	NaN	1	2
 88.271	2	1	0	1	1	1
 96.314	2	1	1	0	1	1
112.862	2	0	0	1	1	1
122.394	2	1	1	0	1	1
135.451	2	0	0	0	1	2
148.491	2	1	1	0	1	1
160.538	2	1	1	0	2	1
 170.07	2	1	0	0	2	2
190.622	2	1	1	1	2	2
200.171	2	1	0	0	2	2
208.214	2	1	0	0	2	2
218.772	2	1	1	1	2	2
226.816	2	0	1	1	2	2
246.871	2	1	0	0	2	2
 256.42	2	1	1	1	2	2
264.447	2	1	0	0	2	2
273.979	2	1	0	0	2	2
293.025	2	1	1	1	2	2
302.574	2	1	1	1	2	2
310.617	2	0	0	0	1	2
320.663	2	0	1	1	1	2
335.208	2	0	0	0	1	2
346.263	2	0	0	1	1	1
 358.31	2	0	1	1	1	2
370.012	2	1	1	0	1	1
 381.05	2	1	1	0	1	1
395.595	2	1	0	1	1	1
403.638	2	0	1	0	1	1
419.193	2	1	0	1	1	1
430.711	2	0	1	1	1	2
442.262	2	1	1	0	1	1
455.302	2	1	0	1	1	1
463.345	2	1	1	0	1	1
473.391	2	1	0	1	1	1
 482.94	2	0	0	1	2	1
492.472	2	1	1	0	2	1
505.529	2	0	1	0	2	1
518.569	2	0	0	1	2	1
530.616	2	1	1	1	2	2
540.165	2	1	1	1	2	2
552.212	2	1	1	1	2	2
563.763	2	0	0	NaN	2	1
573.296	2	0	1	1	2	2
581.339	2	1	0	0	2	2
591.897	2	1	1	1	2	2
 599.94	2	0	0	0	2	2
613.493	2	1	0	0	2	2
629.545	2	1	1	1	2	2
637.588	2	1	1	1	2	2
647.137	2	0	0	NaN	1	2
666.166	2	0	0	0	1	2
675.715	2	0	1	1	1	2
683.759	2	1	1	0	1	1
693.804	2	1	0	1	1	1
708.349	2	0	0	0	1	2
728.405	2	0	1	1	1	2
 740.09	2	1	1	0	1	1
754.636	2	1	0	1	1	1
762.679	2	1	0	1	1	1
770.722	2	1	1	1	1	2
781.264	2	1	1	0	1	1
801.303	2	0	0	1	1	1
809.346	2	1	1	0	1	1
 817.39	2	1	0	1	1	1
825.433	2	0	0	1	1	1
835.478	2	1	1	0	1	1
845.027	2	1	1	0	1	1
854.576	2	0	0	1	2	1
867.632	2	1	1	0	2	1
880.672	2	0	0	1	2	1
 892.72	2	1	0	0	2	2
902.269	2	1	1	1	2	2
914.316	2	0	1	0	2	1
925.867	2	0	1	1	2	2
935.399	2	1	0	0	2	2
943.443	2	1	1	1	2	2
958.997	2	1	0	0	2	2
 972.55	2	1	1	1	2	2
982.099	2	0	1	0	2	1
996.645	2	1	0	0	2	2
1006.19	2	0	1	NaN	2	1
1025.22	2	1	0	0	2	2
1034.77	2	1	0	0	2	2
1042.82	2	0	1	1	1	2
1052.86	2	0	1	1	1	2
1067.41	2	1	0	1	1	1
1078.46	2	1	1	0	1	1
1090.49	2	0	1	0	1	1
1102.18	2	0	1	1	1	2
1113.22	2	1	0	1	1	1
1127.76	2	1	1	0	1	1
 1135.8	2	1	0	1	1	1
1143.85	2	1	1	NaN	1	2
1154.37	2	1	0	1	1	1
1165.91	2	1	0	1	1	1
1182.46	2	0	1	0	1	1
 1190.5	2	0	1	0	1	1
1198.54	2	0	0	1	2	1
1208.57	2	1	0	0	2	2
1218.12	2	1	1	1	2	2
1227.67	2	1	1	1	2	2
1240.73	2	1	0	0	2	2
1253.77	2	1	0	0	2	2
1272.31	2	1	1	1	2	2
1284.35	2	1	0	0	2	2
 1295.9	2	1	1	1	2	2
1310.46	2	0	0	0	2	2
1321.02	2	1	1	1	2	2
1329.06	2	1	0	0	2	2
1342.61	2	1	1	1	2	2
1352.16	2	0	0	0	1	2
1361.71	2	1	1	0	1	1
1369.74	2	0	0	1	1	1
1379.29	2	1	1	0	1	1
1404.83	2	1	0	1	1	1
1412.86	2	1	1	0	1	1
1422.91	2	0	0	0	1	2
1437.45	2	0	1	0	1	1
1448.51	2	0	1	1	1	2
1460.55	2	1	0	1	1	1
