onset	duration	outcome	house_old	chose_old	truecond	condchosen
      0	2	1	0	1	1	1
 11.038	2	0	1	1	1	2
  30.58	2	0	0	NaN	1	2
 38.607	2	1	1	0	1	1
 49.149	2	0	0	NaN	1	2
 60.667	2	1	1	1	1	2
 72.217	2	1	0	1	1	1
 80.244	2	0	1	1	1	2
 88.287	2	0	0	NaN	1	2
 96.314	2	0	1	1	1	2
112.862	2	0	0	0	1	2
122.395	2	0	1	0	1	1
135.451	2	0	0	0	1	2
148.491	2	0	1	1	1	2
160.538	2	1	1	1	1	2
170.087	2	0	0	0	1	2
190.638	2	0	1	1	1	2
200.187	2	0	0	NaN	1	2
208.214	2	0	0	0	1	2
218.772	2	0	1	1	1	2
226.816	2	1	1	0	1	1
246.871	2	0	0	0	1	2
 256.42	2	1	1	0	1	1
264.463	2	1	0	1	1	1
274.012	2	0	0	NaN	1	2
293.041	2	0	1	1	1	2
 302.59	2	1	1	1	1	2
310.617	2	1	0	1	1	1
320.662	2	0	1	1	1	2
335.208	2	1	0	0	1	2
346.262	2	0	0	0	1	2
 358.31	2	0	1	1	1	2
370.012	2	0	1	1	1	2
 381.05	2	0	1	NaN	1	2
395.595	2	0	0	0	1	2
403.639	2	0	1	0	1	1
419.193	2	0	0	0	1	2
430.728	2	0	1	1	1	2
442.279	2	1	1	0	1	1
455.335	2	1	0	0	1	2
463.379	2	1	1	0	1	1
473.424	2	0	0	0	1	2
482.956	2	0	0	NaN	1	2
492.489	2	1	1	0	1	1
505.545	2	1	1	0	1	1
518.585	2	1	0	1	1	1
530.632	2	1	1	0	1	1
540.165	2	1	1	0	1	1
552.212	2	0	1	0	1	1
563.763	2	0	0	0	1	2
573.312	2	1	1	0	1	1
581.355	2	1	0	1	1	1
591.913	2	1	1	0	1	1
599.957	2	0	0	NaN	2	1
613.493	2	0	0	1	2	1
629.528	2	0	1	0	2	1
637.571	2	1	1	1	2	2
 647.12	2	1	0	1	2	1
666.166	2	1	0	0	2	2
675.715	2	1	1	1	2	2
683.758	2	0	1	1	2	2
693.803	2	1	0	0	2	2
708.349	2	0	0	1	2	1
728.404	2	0	1	0	2	1
740.088	2	1	1	1	2	2
754.617	2	0	0	1	2	1
762.661	2	1	0	0	2	2
770.704	2	0	1	1	2	2
781.245	2	0	1	0	2	1
801.284	2	1	0	0	2	2
809.327	2	0	1	0	2	1
817.354	2	1	0	0	2	2
825.397	2	1	0	0	2	2
835.426	2	0	1	0	2	1
844.959	2	1	1	1	2	2
854.507	2	1	0	1	2	1
867.547	2	1	1	1	2	2
880.587	2	1	0	0	2	2
892.618	2	1	0	0	2	2
902.167	2	1	1	1	2	2
914.214	2	0	1	1	2	2
925.765	2	0	1	0	2	1
935.314	2	1	0	0	2	2
943.357	2	0	1	0	2	1
958.912	2	1	0	0	2	2
972.465	2	0	1	1	2	2
982.014	2	1	1	1	2	2
 996.56	2	1	0	0	2	2
1006.11	2	0	1	1	1	2
1025.16	2	1	0	NaN	1	2
 1034.7	2	0	0	0	1	2
1042.75	2	1	1	0	1	1
1052.79	2	1	1	0	1	1
1067.34	2	1	0	1	1	1
1078.39	2	1	1	0	1	1
1090.44	2	1	1	0	1	1
1102.14	2	1	1	0	1	1
1113.18	2	0	0	1	1	2
1127.72	2	1	1	0	1	1
1135.77	2	1	0	0	1	2
1143.81	2	0	1	1	1	2
1154.35	2	0	0	NaN	1	2
1165.89	2	0	0	1	1	2
1182.42	2	0	1	0	1	1
1190.46	2	0	1	1	1	2
 1198.5	2	0	0	0	1	2
1208.55	2	0	0	1	1	2
1218.08	2	0	1	1	1	2
1227.63	2	0	1	NaN	1	2
1240.67	2	0	0	0	1	2
1253.71	2	0	0	1	1	2
1272.26	2	1	1	0	1	1
1284.29	2	1	0	NaN	1	2
1295.83	2	0	1	NaN	1	2
1310.39	2	0	0	0	1	2
1320.95	2	1	1	0	1	1
1328.99	2	1	0	1	1	2
1342.54	2	0	1	0	1	1
1352.09	2	0	0	1	1	2
1361.64	2	0	1	1	1	2
1369.68	2	0	0	0	1	2
1379.22	2	1	1	0	1	1
1404.76	2	0	0	0	1	2
1412.81	2	1	1	0	1	1
1422.85	2	0	0	0	1	2
 1437.4	2	0	1	1	1	2
1448.45	2	1	1	0	1	1
 1460.5	2	0	0	0	1	2
