onset	duration	outcome	house_old	chose_old	truecond	condchosen
      0	2	0	0	1	2	1
 11.055	2	1	1	1	2	2
 30.614	2	1	0	0	2	2
  38.69	2	0	1	0	2	1
 49.265	2	1	0	0	2	2
 60.833	2	0	1	1	2	2
   72.4	2	1	0	0	2	2
 80.476	2	0	1	NaN	2	1
 88.536	2	1	0	0	2	2
 96.613	2	1	1	1	2	2
113.193	2	1	0	0	2	2
122.759	2	0	1	1	2	2
135.832	2	1	0	0	2	2
148.905	2	1	1	1	1	2
160.969	2	1	1	0	1	1
170.518	2	0	0	0	1	2
191.086	2	0	1	1	1	2
200.652	2	1	0	1	1	1
208.728	2	0	0	0	1	2
219.303	2	0	1	1	1	2
227.363	2	0	1	1	1	2
247.434	2	1	0	1	1	1
    257	2	1	1	0	1	1
265.076	2	1	0	1	1	1
274.625	2	1	0	1	1	1
293.688	2	0	1	0	1	1
303.237	2	1	1	0	1	1
311.313	2	1	0	1	1	1
321.392	2	1	1	0	1	1
335.954	2	0	0	0	1	2
347.025	2	1	0	1	1	1
359.105	2	1	1	0	1	1
370.818	2	1	1	1	2	2
381.872	2	1	1	0	2	1
396.435	2	0	0	1	2	1
404.478	2	0	1	0	2	1
420.033	2	0	0	1	2	1
  431.6	2	0	1	1	2	2
443.168	2	0	1	0	2	1
456.208	2	1	0	0	2	2
464.284	2	1	1	1	2	2
474.363	2	1	0	0	2	2
483.912	2	0	0	0	2	2
493.477	2	1	1	1	2	2
 506.55	2	1	1	1	2	2
519.623	2	1	0	0	2	2
531.687	2	1	1	1	2	2
541.269	2	1	1	1	2	2
 553.35	2	0	1	1	1	2
564.917	2	0	0	0	1	2
574.499	2	0	1	1	1	2
582.576	2	0	0	0	1	2
 593.15	2	1	1	0	1	1
 601.21	2	1	0	0	1	2
 614.78	2	1	0	1	1	1
630.847	2	1	1	0	1	1
638.907	2	0	1	0	1	1
648.473	2	1	0	1	1	1
667.535	2	1	0	1	1	1
677.102	2	0	1	0	1	1
685.177	2	1	1	0	1	1
695.239	2	1	0	1	1	1
709.818	2	1	0	1	1	1
729.873	2	0	1	0	2	1
741.585	2	1	1	0	2	1
756.131	2	0	0	1	2	1
764.174	2	0	0	1	2	1
772.201	2	1	1	1	2	2
782.742	2	1	1	1	2	2
802.781	2	1	0	0	2	2
810.824	2	1	1	1	2	2
818.868	2	1	0	0	2	2
826.911	2	0	0	1	2	1
836.956	2	1	1	1	2	2
846.489	2	0	1	1	2	2
856.038	2	1	0	0	2	2
869.094	2	1	1	1	2	2
882.134	2	0	0	0	2	2
894.182	2	0	0	0	1	2
903.731	2	0	1	1	1	2
915.778	2	0	1	1	1	2
927.329	2	1	1	0	1	1
936.861	2	1	0	1	1	1
944.905	2	1	1	0	1	1
960.459	2	1	0	1	1	1
973.996	2	0	1	1	1	2
983.545	2	0	1	0	1	1
 998.09	2	1	0	0	1	2
1007.62	2	1	1	0	1	1
1026.67	2	1	0	1	1	1
1036.22	2	1	0	1	1	1
1044.26	2	0	1	1	1	2
1054.31	2	1	1	0	1	1
1068.84	2	1	0	1	1	1
1079.89	2	1	1	0	1	1
1091.94	2	1	1	0	1	1
1103.65	2	1	1	0	1	1
1114.69	2	1	0	1	1	1
1129.22	2	0	1	0	2	1
1137.26	2	0	0	1	2	1
 1145.3	2	0	1	0	2	1
1155.85	2	0	0	0	2	2
1167.38	2	1	0	0	2	2
1183.93	2	1	1	1	2	2
1191.97	2	1	1	1	2	2
1200.01	2	0	0	1	2	1
1210.06	2	1	0	0	2	2
1219.61	2	1	1	1	2	2
1229.16	2	0	1	1	2	2
 1242.2	2	0	0	0	2	2
1255.24	2	1	0	0	2	2
1273.79	2	1	1	1	2	2
1285.83	2	0	0	0	1	2
1297.39	2	1	1	1	1	2
1311.95	2	0	0	0	1	2
1322.49	2	0	1	1	1	2
1330.53	2	0	0	0	1	2
1344.07	2	1	1	0	1	1
1353.62	2	1	0	1	1	1
1363.15	2	1	1	0	1	1
1371.19	2	1	0	1	1	1
1380.74	2	1	1	0	1	1
1406.29	2	0	0	0	1	2
1414.33	2	1	1	0	1	1
1424.38	2	0	0	1	1	1
1438.93	2	1	1	0	1	1
1449.98	2	1	1	0	1	1
1462.03	2	1	0	1	1	1
