onset	duration	outcome	house_old	chose_old	truecond	condchosen
      0	2	1	0	0	2	2
 11.038	2	1	1	1	2	2
 25.584	2	1	1	1	2	2
 33.627	2	1	0	0	2	2
  41.67	2	1	0	0	2	2
 52.212	2	0	1	1	2	2
 63.746	2	1	1	1	2	2
 75.297	2	1	0	0	2	2
  83.34	2	1	0	0	2	2
 91.384	2	1	1	1	2	2
 99.427	2	1	0	0	2	2
109.472	2	1	1	1	2	2
119.022	2	1	1	0	1	1
 128.57	2	0	0	0	1	2
141.627	2	0	1	0	1	1
163.651	2	0	0	0	1	2
182.184	2	0	1	1	1	2
200.237	2	1	1	0	1	1
 208.28	2	1	1	0	1	1
218.838	2	0	0	1	1	1
226.882	2	1	0	1	1	1
240.418	2	1	1	0	1	1
249.967	2	1	1	0	1	1
259.516	2	1	0	1	1	1
267.559	2	1	1	0	1	1
277.108	2	1	0	1	1	1
296.154	2	1	0	1	2	1
305.703	2	0	1	0	2	1
320.761	2	0	1	0	2	1
335.307	2	0	1	1	2	2
346.362	2	1	1	1	2	2
358.409	2	1	0	0	2	2
370.127	2	1	1	1	2	2
381.165	2	1	0	0	2	2
395.711	2	0	1	1	2	2
403.754	2	1	0	0	2	2
411.781	2	1	0	0	2	2
422.323	2	1	1	1	2	2
433.857	2	1	1	1	2	2
450.405	2	0	0	0	1	2
458.448	2	0	0	0	1	2
466.491	2	1	1	0	1	1
476.537	2	0	1	0	1	1
486.086	2	1	0	1	1	1
495.634	2	1	0	1	1	1
508.691	2	1	1	0	1	1
521.731	2	1	0	1	1	1
540.281	2	0	1	1	1	2
552.328	2	1	1	0	1	1
563.879	2	1	0	1	1	1
573.411	2	1	0	1	1	1
588.966	2	0	1	0	1	1
597.009	2	1	1	0	2	1
610.562	2	0	0	1	2	1
620.111	2	0	0	1	2	1
629.643	2	1	1	1	2	2
637.687	2	1	0	0	2	2
663.236	2	0	1	1	2	2
672.784	2	1	0	0	2	2
680.827	2	1	1	1	2	2
690.872	2	1	0	0	2	2
705.418	2	0	1	0	2	1
716.456	2	1	0	0	2	2
728.503	2	1	1	1	2	2
740.237	2	1	1	1	2	2
 762.79	2	0	1	1	2	2
770.833	2	0	1	1	1	2
778.877	2	1	0	1	1	1
789.418	2	1	0	1	1	1
800.953	2	1	1	0	1	1
812.504	2	1	1	0	1	1
820.547	2	1	0	1	1	1
 828.59	2	0	1	0	1	1
836.633	2	1	0	1	1	1
846.662	2	1	0	1	1	1
856.211	2	1	1	0	1	1
 875.77	2	1	1	0	1	1
 888.81	2	1	1	0	1	1
900.857	2	1	1	0	1	1
910.406	2	0	0	1	2	1
922.453	2	0	1	0	2	1
934.004	2	0	0	0	2	2
943.553	2	1	1	1	2	2
951.596	2	1	0	0	2	2
962.155	2	1	0	0	2	2
970.198	2	0	1	1	2	2
983.751	2	1	1	1	2	2
999.786	2	1	0	0	2	2
1007.83	2	1	0	0	2	2
1017.36	2	1	1	1	2	2
1036.41	2	1	1	1	2	2
1045.96	2	0	0	0	1	2
   1054	2	0	0	0	1	2
1064.03	2	1	1	1	1	2
1078.57	2	0	0	0	1	2
1098.63	2	1	1	0	1	1
1110.36	2	1	1	0	1	1
 1121.4	2	1	0	1	1	1
1135.95	2	0	0	1	1	1
   1149	2	1	1	0	1	1
1159.54	2	1	1	0	1	1
1171.06	2	1	0	1	1	1
1182.61	2	1	0	1	1	1
1190.66	2	1	1	0	1	1
 1198.7	2	0	0	1	1	1
1213.76	2	1	1	0	2	1
1223.31	2	0	0	1	2	1
1232.86	2	0	1	0	2	1
1245.91	2	1	0	0	2	2
1258.95	2	1	1	1	2	2
   1271	2	1	0	0	2	2
1280.53	2	1	1	1	2	2
1292.58	2	1	0	0	2	2
1304.13	2	0	1	1	2	2
1313.68	2	1	1	1	2	2
1321.72	2	1	0	0	2	2
1332.26	2	1	0	0	2	2
1340.31	2	1	1	1	2	2
1353.86	2	0	1	1	1	2
1363.41	2	0	0	0	1	2
1372.96	2	0	0	0	1	2
   1381	2	1	1	0	1	1
1390.55	2	1	0	1	1	1
 1409.6	2	0	1	0	1	1
1419.14	2	1	1	0	1	1
1427.19	2	1	0	1	1	1
1437.23	2	1	1	0	1	1
1459.79	2	0	0	1	1	1
