onset	duration	outcome	house_old	chose_old	truecond	condchosen
      0	2	0	0	1	2	1
 11.071	2	1	1	1	2	2
 30.646	2	1	0	0	2	2
 38.739	2	1	1	1	2	2
 49.314	2	0	0	0	2	2
 60.882	2	1	1	1	2	2
 72.449	2	1	0	0	2	2
 80.525	2	1	1	1	2	2
 88.586	2	0	0	NaN	2	1
 96.678	2	1	1	1	2	2
113.259	2	0	0	1	2	1
122.825	2	0	1	1	2	2
135.898	2	1	0	1	2	1
148.987	2	0	1	0	2	1
161.051	2	0	1	0	2	1
170.617	2	0	0	NaN	2	1
191.168	2	1	1	1	2	2
200.734	2	1	0	0	2	2
208.827	2	1	0	0	2	2
219.418	2	1	1	1	2	2
227.478	2	1	1	1	2	2
247.566	2	1	0	0	2	2
257.132	2	1	1	1	2	2
265.208	2	0	0	0	2	2
 274.79	2	1	0	0	2	2
 293.87	2	1	1	1	2	2
303.452	2	0	1	1	1	2
311.545	2	1	0	1	1	1
321.623	2	1	1	0	1	1
336.202	2	0	0	0	1	2
347.289	2	1	0	1	1	1
359.386	2	1	1	0	1	1
371.088	2	0	1	0	1	1
382.175	2	0	1	1	1	2
396.754	2	1	0	1	1	1
404.797	2	1	1	0	1	1
420.385	2	1	0	1	1	1
431.953	2	0	1	0	1	1
 443.52	2	1	1	0	1	1
456.577	2	1	0	1	2	1
464.653	2	0	1	0	2	1
474.897	2	0	0	1	2	1
484.446	2	1	0	0	2	2
494.028	2	1	1	1	2	2
507.134	2	1	1	1	2	2
520.224	2	1	0	0	2	2
532.288	2	1	1	1	2	2
 541.87	2	1	1	1	2	2
553.967	2	1	1	1	2	2
565.535	2	0	0	0	2	2
 575.15	2	1	1	1	2	2
583.226	2	1	0	0	2	2
593.801	2	0	1	1	1	2
601.861	2	0	0	0	1	2
615.447	2	0	0	1	1	1
631.531	2	1	1	0	1	1
639.591	2	1	1	0	1	1
649.157	2	1	0	1	1	1
668.236	2	0	0	0	1	2
677.801	2	0	1	1	1	2
685.894	2	1	1	0	1	1
695.973	2	1	0	1	1	1
710.568	2	1	0	1	1	1
730.623	2	1	1	0	1	1
742.342	2	1	1	0	1	1
756.888	2	1	0	1	1	1
764.931	2	0	0	1	2	1
772.974	2	0	1	0	2	1
783.516	2	1	1	0	2	1
803.555	2	0	0	1	2	1
811.598	2	0	1	1	2	2
819.641	2	1	0	0	2	2
827.685	2	1	0	0	2	2
837.714	2	0	1	1	2	2
847.262	2	1	1	1	2	2
856.811	2	1	0	0	2	2
869.851	2	1	1	1	2	2
882.892	2	1	0	1	2	1
894.939	2	1	0	0	2	2
904.488	2	0	1	1	2	2
916.535	2	1	1	1	2	2
928.086	2	0	1	1	1	2
937.635	2	0	0	0	1	2
945.678	2	1	1	0	1	1
961.233	2	1	0	1	1	1
974.786	2	1	1	0	1	1
984.335	2	1	1	0	1	1
998.881	2	1	0	1	1	1
1008.41	2	1	1	0	1	1
1027.46	2	1	0	1	1	1
1037.01	2	1	0	1	1	1
1045.05	2	0	1	0	1	1
 1055.1	2	1	1	0	1	1
1069.64	2	1	0	1	1	1
 1080.7	2	0	1	0	2	1
1092.74	2	0	1	0	2	1
1104.45	2	1	1	1	2	2
1115.49	2	0	0	1	2	1
1130.03	2	0	1	0	2	1
1138.07	2	0	0	1	2	1
1146.12	2	1	1	1	2	2
1156.66	2	1	0	0	2	2
1168.19	2	0	0	0	2	2
1184.73	2	0	1	1	2	2
1192.77	2	1	1	1	2	2
 1200.8	2	1	0	0	2	2
1210.82	2	1	0	0	2	2
1220.37	2	1	1	NaN	2	1
1229.91	2	1	1	1	2	2
1242.96	2	1	0	0	2	2
   1256	2	1	0	0	2	2
1274.55	2	0	1	1	1	2
 1286.6	2	0	0	0	1	2
1298.15	2	1	1	0	1	1
1312.71	2	1	0	1	1	1
1323.27	2	0	1	0	1	1
1331.31	2	1	0	1	1	1
1344.87	2	1	1	0	1	1
1354.42	2	1	0	1	1	1
1363.96	2	1	1	0	1	1
1372.01	2	0	0	1	1	1
1381.56	2	1	1	0	1	1
1407.11	2	1	0	1	1	1
1415.15	2	1	1	0	1	1
1425.19	2	0	0	1	2	1
1439.74	2	0	1	0	2	1
1450.79	2	0	1	1	2	2
1462.84	2	0	0	1	2	1
