onset	duration	outcome	house_old	chose_old	truecond	condchosen
      0	2	0	0	NaN	2	1
 11.038	2	0	1	0	2	1
  30.63	2	0	0	1	2	1
 38.707	2	1	1	1	2	2
 49.282	2	1	0	1	2	1
 60.849	2	0	1	NaN	2	1
 72.417	2	1	0	0	2	2
 80.493	2	1	1	1	2	2
 88.553	2	0	0	0	2	2
 96.646	2	1	1	1	2	2
113.243	2	1	0	0	2	2
122.809	2	1	1	1	2	2
135.882	2	1	0	0	2	2
148.971	2	0	1	1	2	2
161.035	2	1	1	1	2	2
170.601	2	0	0	0	1	2
191.185	2	0	1	1	1	2
200.751	2	1	0	1	1	1
208.844	2	1	0	1	1	1
219.435	2	1	1	0	1	1
227.512	2	1	1	0	1	1
247.583	2	1	0	1	1	1
257.149	2	1	1	0	1	1
265.225	2	0	0	1	1	1
274.807	2	1	0	1	1	1
293.886	2	0	1	1	1	2
303.485	2	0	1	1	1	2
311.578	2	0	0	NaN	1	2
321.656	2	1	1	0	1	1
336.252	2	1	0	0	1	2
347.339	2	0	0	0	1	2
359.403	2	0	1	1	1	2
371.104	2	1	1	0	1	1
382.158	2	1	1	0	1	1
396.721	2	1	0	1	1	1
404.764	2	1	1	0	1	1
420.352	2	0	0	1	1	1
 431.92	2	0	1	NaN	1	2
 443.47	2	1	1	0	1	1
456.543	2	1	0	1	1	1
 464.62	2	1	1	0	1	1
474.715	2	0	0	1	1	1
484.264	2	1	0	1	1	1
493.829	2	0	1	0	2	1
506.919	2	0	1	0	2	1
520.009	2	1	0	0	2	2
532.072	2	1	1	1	2	2
541.688	2	1	1	1	2	2
553.768	2	1	1	1	2	2
565.352	2	1	0	0	2	2
574.934	2	1	1	1	2	2
 583.01	2	1	0	0	2	2
593.585	2	0	1	1	2	2
601.645	2	1	0	0	2	2
615.231	2	1	0	0	2	2
631.299	2	0	1	1	1	2
639.359	2	0	1	1	1	2
648.908	2	0	0	NaN	1	2
667.987	2	0	0	1	1	1
677.552	2	1	1	0	1	1
685.645	2	1	1	0	1	1
695.724	2	1	0	1	1	1
710.319	2	1	0	0	1	2
730.374	2	1	1	0	1	1
742.091	2	0	1	1	1	2
756.637	2	1	0	1	1	1
 764.68	2	1	0	1	1	1
772.707	2	1	1	0	1	1
783.249	2	1	1	0	1	1
803.287	2	1	0	0	1	2
811.331	2	1	1	0	1	1
819.374	2	0	0	1	1	1
827.417	2	1	0	1	1	1
837.463	2	1	1	0	1	1
847.012	2	0	1	0	1	1
 856.56	2	1	0	0	2	2
869.617	2	1	1	1	2	2
882.641	2	1	0	0	2	2
894.688	2	1	0	0	2	2
 904.22	2	0	1	1	2	2
916.268	2	1	1	1	2	2
927.818	2	1	1	1	2	2
937.367	2	1	0	0	2	2
945.411	2	1	1	1	2	2
960.966	2	1	0	0	2	2
974.519	2	1	1	1	2	2
984.067	2	0	1	1	1	2
998.613	2	1	0	1	1	1
1008.16	2	0	1	1	1	2
1027.21	2	0	0	0	1	2
1036.76	2	1	0	1	1	1
 1044.8	2	1	1	0	1	1
1054.85	2	0	1	1	1	2
1069.39	2	0	0	1	1	1
1080.45	2	1	1	0	1	1
1092.49	2	1	1	0	1	1
1104.19	2	1	1	0	1	1
1115.23	2	1	0	1	1	1
1129.78	2	1	1	0	1	1
 1137.8	2	0	0	1	1	1
1145.83	2	0	1	0	1	1
1156.37	2	1	0	0	2	2
1167.91	2	1	0	0	2	2
1184.46	2	1	1	1	2	2
 1192.5	2	1	1	1	2	2
1200.54	2	1	0	0	2	2
1210.59	2	1	0	0	2	2
1220.14	2	1	1	1	2	2
1229.68	2	1	1	1	2	2
1242.74	2	0	0	0	2	2
1255.78	2	1	0	0	2	2
1274.33	2	1	1	1	2	2
1286.38	2	1	0	0	2	2
1297.93	2	0	1	1	1	2
1312.49	2	0	0	0	1	2
1323.05	2	1	1	0	1	1
1331.09	2	0	0	1	1	1
1344.63	2	1	1	0	1	1
1354.18	2	0	0	NaN	1	2
1363.71	2	1	1	0	1	1
1371.75	2	1	0	1	1	1
 1381.3	2	0	1	0	1	1
1406.85	2	1	0	0	1	2
1414.89	2	1	1	0	1	1
1424.94	2	0	0	0	1	2
1439.49	2	1	1	0	1	1
1450.54	2	1	1	0	1	1
1462.59	2	0	0	NaN	1	2
