onset	duration	outcome	house_old	chose_old	truecond	condchosen
      0	2	0	0	0	1	2
 11.071	2	0	1	1	1	2
 25.633	2	1	1	0	1	1
  33.71	2	1	0	1	1	1
 41.802	2	1	0	1	1	1
 52.394	2	1	1	0	1	1
 63.945	2	1	1	0	1	1
 75.529	2	0	0	0	1	2
 83.588	2	1	0	0	1	2
 91.681	2	0	1	0	1	1
 99.758	2	0	0	0	1	2
 109.82	2	1	1	0	1	1
119.385	2	1	1	0	1	1
128.967	2	1	0	1	1	1
142.057	2	1	1	0	1	1
 164.13	2	1	0	1	1	1
182.713	2	1	1	0	1	1
200.816	2	1	1	0	1	1
208.892	2	0	1	1	1	2
 219.45	2	0	0	1	1	1
227.543	2	0	0	0	1	2
241.096	2	1	1	0	1	1
250.662	2	1	1	0	1	1
260.244	2	0	0	0	2	2
268.304	2	0	1	0	2	1
277.886	2	0	0	1	2	1
296.965	2	1	0	0	2	2
306.547	2	1	1	1	2	2
321.622	2	1	1	1	2	2
336.217	2	1	1	1	2	2
347.304	2	1	1	1	2	2
359.401	2	1	0	0	2	2
371.151	2	0	1	1	2	2
382.238	2	1	0	1	2	1
396.784	2	0	1	0	2	1
 404.86	2	0	0	NaN	2	1
412.921	2	0	0	1	2	1
423.512	2	1	1	1	2	2
435.079	2	1	1	1	2	2
 451.66	2	1	0	0	2	2
459.753	2	1	0	0	2	2
467.846	2	0	1	1	2	2
477.924	2	0	1	0	2	1
487.522	2	1	0	0	2	2
497.121	2	1	0	0	2	2
510.194	2	1	1	1	2	2
523.234	2	1	0	0	2	2
  541.8	2	1	1	1	2	2
553.897	2	0	1	1	1	2
565.481	2	0	0	NaN	1	2
575.046	2	0	0	1	1	1
590.585	2	0	1	1	1	2
598.661	2	0	1	1	1	2
612.264	2	1	0	0	1	2
621.862	2	0	0	0	1	2
631.428	2	1	1	1	1	2
639.521	2	0	0	0	1	2
665.118	2	0	1	1	1	2
  674.7	2	1	0	1	1	1
682.777	2	1	1	0	1	1
692.855	2	1	0	1	1	1
707.434	2	1	1	0	1	1
718.522	2	1	0	1	1	1
730.569	2	1	1	0	1	1
742.319	2	0	1	1	1	2
764.872	2	1	1	0	1	1
772.899	2	0	1	1	1	2
780.942	2	0	0	1	1	1
791.484	2	1	0	1	1	1
803.018	2	0	1	1	1	2
814.569	2	0	1	1	1	2
822.613	2	0	0	0	1	2
830.656	2	1	1	0	1	1
838.699	2	0	0	1	1	1
848.744	2	0	0	0	1	2
858.293	2	1	1	0	1	1
877.852	2	1	1	0	1	1
890.892	2	1	1	0	1	1
902.939	2	0	1	1	1	2
912.488	2	1	0	1	1	1
924.536	2	1	1	0	1	1
936.086	2	1	0	1	1	1
945.619	2	0	1	1	1	2
953.662	2	0	0	1	1	1
 964.22	2	1	0	0	1	2
972.264	2	0	1	1	1	2
  985.8	2	1	1	0	1	1
1001.85	2	1	0	1	1	1
1009.89	2	1	0	1	1	1
1019.44	2	0	1	NaN	1	2
1038.47	2	1	1	0	1	1
1048.02	2	1	0	1	1	1
1056.07	2	0	0	1	1	1
1066.11	2	0	1	1	1	2
1080.66	2	1	0	1	1	1
1100.71	2	1	1	0	1	1
1112.46	2	1	1	0	1	1
 1123.5	2	1	0	1	1	1
1138.05	2	0	0	1	2	1
 1151.1	2	1	1	1	2	2
1161.64	2	1	1	1	2	2
1173.18	2	0	0	0	2	2
1184.73	2	0	0	1	2	1
1192.77	2	1	1	1	2	2
1200.82	2	1	0	0	2	2
1215.87	2	1	1	1	2	2
1225.42	2	0	0	0	2	2
1234.97	2	1	1	0	2	1
1248.01	2	0	0	NaN	2	1
1261.04	2	1	1	1	2	2
1273.08	2	1	0	0	2	2
1282.63	2	1	1	1	2	2
1294.68	2	0	0	0	1	2
1306.23	2	1	1	0	1	1
1315.76	2	0	1	1	1	2
 1323.8	2	1	0	1	1	1
1334.35	2	1	0	1	1	1
1342.39	2	1	1	0	1	1
1355.94	2	1	1	0	1	1
1365.49	2	0	0	1	1	1
1375.04	2	1	0	0	1	2
1383.08	2	1	1	0	1	1
1392.62	2	0	0	0	1	2
1411.66	2	1	1	0	1	1
1421.21	2	0	1	1	1	2
1429.25	2	1	0	1	1	1
1439.28	2	1	1	0	1	1
1461.84	2	1	0	1	1	1
