onset	duration	outcome	house_old	chose_old	truecond	condchosen
      0	2	0	0	0	1	2
 11.038	2	1	1	0	1	1
 25.584	2	1	1	0	1	1
 33.627	2	1	0	1	1	1
 41.671	2	1	0	1	1	1
 52.213	2	1	1	0	1	1
 63.747	2	0	1	0	1	1
 75.298	2	1	0	1	1	1
 83.341	2	1	0	1	1	1
 91.384	2	1	1	0	1	1
 99.428	2	1	0	1	1	1
109.473	2	1	1	0	1	1
119.022	2	0	1	0	2	1
128.571	2	0	0	1	2	1
141.628	2	1	1	1	2	2
163.669	2	1	0	0	2	2
182.218	2	0	1	1	2	2
200.272	2	1	1	1	2	2
208.315	2	1	1	1	2	2
218.873	2	0	0	0	2	2
226.917	2	1	0	0	2	2
 240.47	2	1	1	1	2	2
250.019	2	1	1	1	2	2
259.568	2	1	0	0	2	2
267.611	2	1	1	1	2	2
 277.16	2	1	0	0	1	2
296.206	2	0	0	0	1	2
305.755	2	1	1	0	1	1
320.814	2	0	1	0	1	1
335.359	2	1	1	0	1	1
346.414	2	1	1	0	1	1
358.461	2	1	0	1	1	1
370.195	2	1	1	0	1	1
381.233	2	0	0	1	1	1
395.779	2	1	1	0	1	1
403.822	2	1	0	1	1	1
411.865	2	1	0	1	1	1
422.407	2	0	1	NaN	2	1
433.925	2	0	1	0	2	1
450.473	2	1	0	0	2	2
458.516	2	1	0	0	2	2
466.559	2	0	1	1	2	2
476.605	2	1	1	1	2	2
486.137	2	1	0	0	2	2
495.686	2	1	0	0	2	2
508.743	2	1	1	1	2	2
521.783	2	1	0	0	2	2
540.316	2	1	1	1	2	2
552.363	2	1	1	1	2	2
563.914	2	0	0	0	2	2
573.447	2	1	0	1	1	1
589.002	2	1	1	0	1	1
597.045	2	0	1	0	1	1
610.598	2	1	0	1	1	1
620.147	2	1	0	1	1	1
 629.68	2	0	1	1	1	2
637.723	2	1	0	1	1	1
663.272	2	1	1	0	1	1
672.821	2	1	0	1	1	1
680.864	2	1	1	0	1	1
690.909	2	0	0	1	1	1
705.455	2	0	1	0	2	1
 716.51	2	1	0	0	2	2
728.557	2	1	1	1	2	2
740.291	2	1	1	1	2	2
762.829	2	1	1	1	2	2
770.871	2	1	1	1	2	2
778.915	2	0	0	0	2	2
789.456	2	1	0	0	2	2
800.974	2	1	1	1	2	2
812.525	2	1	1	1	2	2
820.569	2	1	0	0	2	2
828.612	2	1	1	1	2	2
836.639	2	1	0	0	2	2
846.684	2	1	0	0	1	2
856.233	2	0	1	1	1	2
875.759	2	0	1	0	1	1
888.799	2	1	1	0	1	1
900.847	2	1	1	0	1	1
910.379	2	1	0	1	1	1
922.426	2	0	1	0	1	1
933.977	2	1	0	1	1	1
943.526	2	1	1	0	1	1
951.553	2	1	0	1	1	1
962.112	2	1	0	1	1	1
970.155	2	1	1	0	1	1
983.708	2	0	1	0	2	1
999.759	2	1	0	0	2	2
 1007.8	2	1	0	0	2	2
1017.33	2	1	1	1	2	2
1036.38	2	0	1	1	2	2
1045.93	2	1	0	0	2	2
1053.97	2	1	0	0	2	2
1064.02	2	1	1	1	2	2
1078.56	2	1	0	0	2	2
1098.62	2	1	1	1	2	2
1110.35	2	0	1	1	2	2
1121.39	2	1	0	0	2	2
1135.94	2	1	0	0	2	2
1148.99	2	0	1	1	1	2
1159.54	2	1	1	0	1	1
1171.07	2	1	0	1	1	1
1182.62	2	1	0	1	1	1
1190.65	2	0	1	0	1	1
1198.69	2	1	0	1	1	1
1213.75	2	1	1	0	1	1
 1223.3	2	1	0	1	1	1
1232.85	2	1	1	0	1	1
 1245.9	2	1	0	1	1	1
1258.94	2	1	1	0	1	1
1270.99	2	0	0	1	2	1
1280.54	2	0	1	1	2	2
1292.59	2	1	0	0	2	2
1304.14	2	1	1	1	2	2
1313.69	2	1	1	1	2	2
1321.73	2	0	0	0	2	2
1332.29	2	1	0	0	2	2
1340.33	2	1	1	1	2	2
1353.89	2	0	1	1	2	2
1363.44	2	1	0	0	2	2
1372.98	2	1	0	0	2	2
1381.03	2	1	1	1	2	2
1390.56	2	0	0	0	1	2
1409.61	2	1	1	0	1	1
1419.16	2	1	1	0	1	1
 1427.2	2	1	0	1	1	1
1437.24	2	1	1	0	1	1
 1459.8	2	1	0	1	1	1
