onset	duration	outcome	house_old	chose_old	truecond	condchosen
      0	2	0	0	0	1	2
 11.071	2	1	1	0	1	1
 25.634	2	1	1	0	1	1
  33.71	2	1	0	1	1	1
 41.803	2	1	0	1	1	1
 52.394	2	1	1	0	1	1
 63.962	2	0	1	0	1	1
 75.546	2	1	0	1	1	1
 83.622	2	1	0	1	1	1
 91.699	2	1	1	0	1	1
 99.775	2	1	0	1	1	1
109.837	2	1	1	0	1	1
119.402	2	0	1	0	2	1
128.984	2	0	0	1	2	1
142.074	2	1	1	1	2	2
164.148	2	1	0	0	2	2
182.714	2	0	1	1	2	2
200.801	2	1	1	1	2	2
 208.86	2	1	1	1	2	2
219.418	2	1	0	1	2	1
227.511	2	0	0	0	2	2
241.048	2	1	1	1	2	2
250.613	2	0	1	NaN	2	1
260.179	2	1	0	0	2	2
268.255	2	1	1	1	2	2
277.837	2	1	0	0	2	2
296.916	2	0	0	0	1	2
306.498	2	0	1	1	1	2
321.573	2	1	1	0	1	1
336.169	2	1	1	0	1	1
347.256	2	0	1	1	1	2
359.353	2	0	0	NaN	1	2
371.087	2	1	1	1	1	2
382.158	2	0	0	0	1	2
396.737	2	0	1	1	1	2
404.813	2	0	0	1	1	1
412.906	2	0	0	0	1	2
423.498	2	1	1	0	1	1
435.082	2	1	1	0	1	1
451.662	2	1	0	1	1	1
459.755	2	1	0	1	1	1
467.848	2	0	1	0	1	1
477.927	2	1	1	0	1	1
487.525	2	1	0	1	1	1
497.124	2	1	0	1	1	1
510.197	2	1	1	0	1	1
523.237	2	0	0	1	2	1
541.803	2	0	1	0	2	1
553.883	2	1	1	1	2	2
565.467	2	0	0	0	2	2
575.066	2	1	0	0	2	2
590.621	2	1	1	1	2	2
598.697	2	0	1	NaN	2	1
612.283	2	1	0	0	2	2
621.882	2	1	0	0	2	2
631.464	2	1	1	1	2	2
639.557	2	1	0	0	2	2
665.155	2	0	1	NaN	2	1
674.737	2	0	0	1	2	1
682.797	2	1	1	0	2	1
692.875	2	1	0	0	2	2
707.454	2	0	1	0	2	1
718.541	2	0	0	0	2	2
730.589	2	1	1	0	2	1
742.339	2	0	1	0	2	1
 764.86	2	0	1	0	2	1
772.903	2	1	1	1	2	2
780.946	2	1	0	0	2	2
791.488	2	0	0	0	2	2
803.022	2	1	1	1	2	2
814.573	2	1	1	1	2	2
822.617	2	1	0	0	2	2
 830.66	2	1	1	1	2	2
838.703	2	1	0	0	2	2
848.749	2	1	0	0	2	2
858.298	2	0	1	1	2	2
877.856	2	0	1	1	1	2
890.896	2	1	1	0	1	1
902.944	2	0	1	1	1	2
912.493	2	0	0	0	1	2
 924.54	2	0	1	1	1	2
936.091	2	1	0	1	1	1
945.623	2	0	1	1	1	2
953.667	2	0	0	0	1	2
964.209	2	1	0	1	1	1
972.252	2	1	1	0	1	1
985.805	2	1	1	0	1	1
1001.86	2	0	0	1	1	1
 1009.9	2	0	0	NaN	1	2
1019.43	2	1	1	0	1	1
1038.48	2	1	1	0	1	1
1048.03	2	1	0	1	1	1
1056.07	2	1	0	1	1	1
1066.12	2	1	1	0	1	1
1080.66	2	0	0	1	2	1
1100.72	2	1	1	0	2	1
1112.47	2	0	1	0	2	1
 1123.5	2	1	0	0	2	2
1138.05	2	0	0	0	2	2
1151.11	2	0	1	0	2	1
1161.65	2	1	1	1	2	2
1173.18	2	1	0	0	2	2
1184.73	2	1	0	0	2	2
1192.78	2	0	1	1	2	2
 1200.8	2	1	0	0	2	2
1215.86	2	1	1	1	2	2
1225.41	2	0	0	1	2	1
1234.96	2	1	1	1	2	2
1248.02	2	1	0	0	2	2
1261.06	2	0	1	1	1	2
 1273.1	2	0	0	0	1	2
1282.64	2	1	1	NaN	1	2
1294.67	2	1	0	1	1	1
 1306.2	2	1	1	0	1	1
1315.75	2	1	1	0	1	1
1323.78	2	1	0	1	1	1
1334.34	2	0	0	1	1	1
1342.36	2	1	1	0	1	1
1355.92	2	1	1	0	1	1
1365.45	2	0	0	0	1	2
   1375	2	1	0	1	1	1
1383.04	2	1	1	0	1	1
1392.59	2	1	0	1	1	1
1411.64	2	0	1	0	2	1
1421.18	2	0	1	0	2	1
1429.23	2	0	0	0	2	2
1439.27	2	1	1	1	2	2
1461.83	2	1	0	0	2	2
