onset	duration	outcome	house_old	chose_old	truecond	condchosen
      0	2	0	0	1	2	1
 11.055	2	1	1	1	2	2
 30.646	2	1	0	0	2	2
 38.739	2	1	1	1	2	2
 49.314	2	0	0	0	2	2
 60.882	2	1	1	1	2	2
 72.466	2	1	0	0	2	2
 80.542	2	1	1	1	2	2
 88.635	2	1	0	0	2	2
 96.728	2	0	1	1	2	2
113.309	2	1	0	0	2	2
122.875	2	1	1	1	2	2
135.931	2	1	0	1	1	1
149.021	2	1	1	0	1	1
161.085	2	1	1	0	1	1
170.634	2	1	0	1	1	1
191.202	2	1	1	0	1	1
200.768	2	0	0	1	1	1
208.844	2	1	0	1	1	1
219.436	2	1	1	0	1	1
227.495	2	1	1	0	1	1
247.567	2	1	0	1	1	1
257.116	2	1	1	0	1	1
265.176	2	0	0	NaN	1	2
274.742	2	0	0	0	1	2
293.821	2	1	1	0	1	1
 303.42	2	1	1	0	2	1
311.513	2	0	0	1	2	1
321.591	2	0	1	0	2	1
336.186	2	0	0	0	2	2
347.258	2	1	0	0	2	2
359.355	2	1	1	1	2	2
371.056	2	1	1	1	2	2
382.144	2	0	1	1	2	2
396.723	2	1	0	0	2	2
404.766	2	1	1	1	2	2
420.354	2	1	0	0	2	2
431.922	2	1	1	1	2	2
443.489	2	1	1	1	2	2
456.563	2	0	0	0	1	2
464.639	2	0	1	1	1	2
474.734	2	1	0	1	1	1
484.283	2	0	0	0	1	2
493.849	2	1	1	0	1	1
506.938	2	1	1	0	1	1
520.011	2	0	0	1	1	1
532.075	2	1	1	0	1	1
541.674	2	1	1	0	1	1
553.738	2	0	1	0	1	1
565.322	2	0	0	0	1	2
574.921	2	1	1	0	1	1
582.997	2	1	0	1	1	1
593.572	2	1	1	0	1	1
601.632	2	1	0	1	2	1
615.218	2	0	0	1	2	1
631.286	2	0	1	0	2	1
639.346	2	1	1	1	2	2
648.895	2	1	0	0	2	2
667.974	2	1	0	0	2	2
677.539	2	1	1	1	2	2
685.632	2	1	1	1	2	2
695.711	2	1	0	0	2	2
710.306	2	0	0	0	2	2
730.345	2	1	1	1	2	2
742.061	2	1	1	1	2	2
756.607	2	0	0	0	2	2
 764.65	2	0	0	0	1	2
772.694	2	1	1	0	1	1
783.236	2	1	1	0	1	1
803.274	2	1	0	1	1	1
811.318	2	1	1	0	1	1
819.361	2	0	0	1	1	1
827.404	2	0	0	0	1	2
 837.45	2	1	1	0	1	1
846.999	2	1	1	0	1	1
856.548	2	1	0	1	1	1
869.604	2	1	1	0	1	1
882.644	2	1	0	1	1	1
894.692	2	1	0	1	1	1
904.241	2	1	1	1	2	2
916.288	2	0	1	0	2	1
927.823	2	0	1	0	2	1
937.355	2	1	0	0	2	2
945.398	2	1	1	1	2	2
960.953	2	0	0	0	2	2
974.506	2	1	1	1	2	2
984.055	2	1	1	1	2	2
998.601	2	1	0	0	2	2
1008.15	2	1	1	1	2	2
 1027.2	2	1	0	0	2	2
1036.75	2	0	0	0	2	2
1044.79	2	0	1	1	1	2
1054.83	2	0	1	0	1	1
1069.36	2	1	0	1	1	1
1080.42	2	1	1	0	1	1
1092.47	2	1	1	0	1	1
1104.18	2	0	1	1	1	2
1115.22	2	1	0	1	1	1
1129.77	2	1	1	0	1	1
1137.81	2	1	0	1	1	1
1145.85	2	1	1	0	1	1
1156.38	2	1	0	1	1	1
1167.91	2	0	0	1	1	1
1184.46	2	1	1	0	1	1
 1192.5	2	1	1	0	2	1
1200.55	2	0	0	1	2	1
1210.59	2	1	0	0	2	2
1220.14	2	1	1	1	2	2
1229.69	2	1	1	1	2	2
1242.75	2	0	0	0	2	2
1255.79	2	1	0	0	2	2
1274.34	2	1	1	1	2	2
1286.38	2	1	0	0	2	2
1297.94	2	0	1	1	2	2
 1312.5	2	1	0	1	2	1
1323.06	2	0	1	0	2	1
 1331.1	2	0	0	1	2	1
1344.65	2	1	1	1	2	2
 1354.2	2	1	0	0	2	2
1363.75	2	1	1	1	2	2
1371.79	2	1	0	0	2	2
1381.33	2	1	1	1	2	2
1406.87	2	1	0	0	2	2
1414.92	2	1	1	1	2	2
1424.96	2	1	0	0	2	2
1439.51	2	1	1	1	2	2
1450.56	2	1	1	1	2	2
1462.61	2	0	0	0	1	2
