onset	duration	outcome	house_old	chose_old	truecond	condchosen
      0	2	1	0	1	1	1
 11.038	2	1	1	0	1	1
  30.63	2	1	0	1	1	1
 38.723	2	0	1	0	1	1
 49.298	2	1	0	1	1	1
 60.865	2	1	1	0	1	1
 72.449	2	1	0	1	1	1
 80.509	2	1	1	0	1	1
 88.602	2	0	0	1	1	1
 96.662	2	0	1	1	1	2
113.243	2	1	0	1	1	1
122.825	2	1	1	0	1	1
135.914	2	1	0	0	2	2
 149.02	2	0	1	0	2	1
161.084	2	1	1	1	2	2
170.633	2	1	0	0	2	2
191.201	2	1	1	1	2	2
  200.8	2	0	0	1	2	1
208.876	2	1	0	0	2	2
219.467	2	0	1	1	2	2
227.527	2	1	1	1	2	2
247.599	2	1	0	0	2	2
257.165	2	1	1	1	2	2
265.224	2	1	0	0	2	2
274.823	2	1	0	0	2	2
293.886	2	1	1	1	1	2
303.435	2	0	1	1	1	2
311.511	2	0	0	0	1	2
321.573	2	1	1	0	1	1
336.151	2	0	0	0	1	2
347.239	2	0	0	1	1	1
359.319	2	1	1	0	1	1
371.034	2	1	1	0	1	1
382.105	2	0	1	1	1	2
396.667	2	1	0	1	1	1
 404.71	2	0	1	0	1	1
420.265	2	1	0	1	1	1
431.833	2	1	1	0	1	1
  443.4	2	1	1	0	1	1
456.474	2	1	0	1	1	1
 464.55	2	0	1	0	2	1
474.645	2	1	0	0	2	2
484.193	2	1	0	0	2	2
493.726	2	1	1	1	2	2
  506.8	2	1	1	1	2	2
519.872	2	0	0	0	2	2
531.952	2	1	1	1	2	2
541.534	2	1	1	1	2	2
553.615	2	0	1	1	2	2
565.182	2	1	0	0	2	2
574.764	2	1	1	1	2	2
582.841	2	1	0	0	2	2
593.415	2	0	1	1	1	2
601.475	2	1	0	1	1	1
615.061	2	1	0	NaN	1	2
631.129	2	0	1	1	1	2
639.189	2	1	1	0	1	1
648.738	2	1	0	1	1	1
667.817	2	1	0	1	1	1
677.382	2	1	1	0	1	1
685.458	2	1	1	0	1	1
695.504	2	0	0	1	1	1
710.066	2	1	0	1	1	1
730.121	2	1	1	0	1	1
741.837	2	0	1	0	1	1
756.382	2	0	0	1	2	1
764.426	2	1	0	0	2	2
772.469	2	1	1	1	2	2
 783.01	2	1	1	1	2	2
803.049	2	1	0	0	2	2
811.076	2	0	1	1	2	2
819.119	2	1	0	0	2	2
827.146	2	1	0	0	2	2
837.191	2	1	1	1	2	2
 846.74	2	1	1	1	2	2
856.289	2	1	0	0	2	2
869.346	2	1	1	1	2	2
882.386	2	1	0	0	2	2
894.433	2	0	0	0	1	2
903.965	2	1	1	0	1	1
916.012	2	1	1	0	1	1
927.563	2	0	1	0	1	1
937.096	2	1	0	1	1	1
945.139	2	1	1	0	1	1
960.694	2	1	0	1	1	1
974.247	2	1	1	0	1	1
983.779	2	1	1	0	1	1
998.325	2	0	0	1	1	1
1007.86	2	0	1	NaN	1	2
1026.89	2	0	0	1	1	1
1036.43	2	0	0	0	1	2
1044.48	2	1	1	1	2	2
1054.52	2	1	1	1	2	2
1069.07	2	1	0	0	2	2
1080.12	2	1	1	1	2	2
1092.17	2	1	1	1	2	2
1103.89	2	1	1	1	2	2
1114.91	2	1	0	0	2	2
1129.45	2	1	1	1	2	2
 1137.5	2	0	0	0	2	2
1145.54	2	1	1	1	2	2
1156.06	2	1	0	0	2	2
 1167.6	2	1	0	0	2	2
1184.15	2	1	1	1	2	2
1192.19	2	0	1	1	1	2
1200.23	2	0	0	1	1	1
1210.28	2	0	0	0	1	2
1219.83	2	1	1	0	1	1
1229.38	2	1	1	0	1	1
1242.43	2	0	0	0	1	2
1255.47	2	1	0	1	1	1
1274.02	2	0	1	0	1	1
1286.07	2	1	0	1	1	1
 1297.6	2	1	1	0	1	1
1312.17	2	1	0	1	1	1
1322.72	2	1	1	0	1	1
1330.77	2	1	0	1	1	1
 1344.3	2	1	1	1	2	2
1353.85	2	1	0	0	2	2
 1363.4	2	1	1	1	2	2
1371.44	2	1	0	0	2	2
1380.98	2	1	1	1	2	2
1406.52	2	0	0	0	2	2
1414.57	2	1	1	1	2	2
1424.61	2	1	0	0	2	2
1439.16	2	1	1	1	2	2
1450.21	2	1	1	1	2	2
1462.26	2	1	0	NaN	2	1
