onset	duration	outcome	house_old	chose_old	truecond	condchosen
      0	2	0	0	NaN	2	1
 11.055	2	1	1	1	2	2
 25.617	2	1	1	1	2	2
 33.693	2	1	0	0	2	2
 41.803	2	1	0	0	2	2
 52.394	2	1	1	1	2	2
 63.962	2	0	1	1	2	2
 75.562	2	1	0	0	2	2
 83.655	2	1	0	0	2	2
 91.748	2	1	1	1	2	2
 99.792	2	1	0	0	2	2
109.853	2	1	1	1	2	2
119.419	2	1	1	1	2	2
129.001	2	0	0	0	1	2
142.091	2	0	1	1	1	2
164.148	2	1	0	1	1	1
182.714	2	0	1	0	1	1
200.817	2	1	1	0	1	1
208.894	2	1	1	0	1	1
219.468	2	1	0	0	1	2
227.561	2	0	0	1	1	1
241.114	2	1	1	0	1	1
250.696	2	1	1	0	1	1
260.278	2	1	0	1	1	1
268.355	2	1	1	0	1	1
 277.92	2	1	0	1	1	1
296.999	2	0	0	1	2	1
306.581	2	0	1	0	2	1
321.657	2	1	1	1	2	2
336.252	2	0	1	1	2	2
 347.34	2	1	1	1	2	2
 359.42	2	1	0	0	2	2
 371.17	2	1	1	1	2	2
382.224	2	1	0	0	2	2
396.786	2	0	1	1	2	2
404.863	2	1	0	0	2	2
412.939	2	1	0	0	2	2
423.514	2	1	1	1	2	2
435.098	2	0	1	1	1	2
451.679	2	1	0	1	1	1
459.772	2	1	0	1	1	1
467.865	2	0	1	NaN	1	2
477.927	2	0	1	1	1	2
487.509	2	0	0	1	1	1
497.091	2	1	0	1	1	1
510.164	2	1	1	0	1	1
523.204	2	1	0	0	1	2
 541.77	2	1	1	0	1	1
553.851	2	1	1	0	1	1
565.435	2	0	0	NaN	1	2
575.017	2	1	0	1	1	1
590.572	2	1	1	0	1	1
598.632	2	1	1	0	1	1
612.234	2	0	0	NaN	2	1
621.816	2	0	0	1	2	1
631.382	2	0	1	0	2	1
639.475	2	0	0	1	2	1
665.057	2	0	1	1	2	2
674.622	2	0	0	1	2	1
682.698	2	0	1	0	2	1
692.777	2	1	0	0	2	2
707.355	2	0	1	0	2	1
718.443	2	1	0	0	2	2
 730.49	2	0	1	1	2	2
 742.24	2	1	1	0	2	1
764.777	2	0	1	0	2	1
 772.82	2	1	1	1	2	2
780.863	2	1	0	0	2	2
791.405	2	1	0	0	2	2
 802.94	2	1	1	1	2	2
814.491	2	1	1	NaN	2	1
822.517	2	1	0	0	2	2
830.561	2	1	1	1	2	2
838.604	2	0	0	0	2	2
848.649	2	1	0	0	2	2
858.182	2	0	1	1	1	2
877.741	2	0	1	1	1	2
890.781	2	1	1	0	1	1
902.828	2	1	1	0	1	1
912.377	2	1	0	1	1	1
924.424	2	1	1	0	1	1
935.975	2	0	0	1	1	1
945.524	2	1	1	0	1	1
953.568	2	1	0	1	1	1
 964.11	2	0	0	0	1	2
972.153	2	0	1	NaN	1	2
985.689	2	1	1	0	1	1
1001.74	2	1	0	1	1	1
1009.78	2	1	0	1	1	1
1019.33	2	0	1	0	2	1
1038.38	2	0	1	0	2	1
1047.93	2	0	0	1	2	1
1055.97	2	1	0	0	2	2
1066.02	2	0	1	1	2	2
1080.56	2	1	0	0	2	2
1100.62	2	1	1	1	2	2
1112.37	2	1	1	1	2	2
1123.41	2	0	0	NaN	2	1
1137.94	2	0	0	0	2	2
1150.99	2	0	1	0	2	1
1161.53	2	1	1	1	2	2
1173.05	2	0	0	NaN	2	1
1184.59	2	1	0	1	2	1
1192.63	2	0	1	0	2	1
1200.67	2	0	0	1	2	1
1215.73	2	1	1	1	2	2
1225.28	2	0	0	NaN	2	1
 1234.8	2	1	1	1	2	2
1247.85	2	1	0	0	2	2
1260.88	2	1	1	1	2	2
1272.92	2	1	0	0	2	2
1282.47	2	1	1	1	2	2
1294.52	2	1	0	0	2	2
1306.07	2	0	1	1	2	2
1315.62	2	1	1	1	2	2
1323.66	2	1	0	0	2	2
1334.22	2	0	0	0	1	2
1342.26	2	0	1	1	1	2
 1355.8	2	1	1	0	1	1
1365.33	2	1	0	1	1	1
1374.88	2	1	0	0	1	2
1382.93	2	1	1	0	1	1
1392.47	2	0	0	1	1	1
1411.52	2	1	1	0	1	1
1421.07	2	1	1	0	1	1
1429.11	2	1	0	1	1	1
1439.16	2	1	1	0	1	1
1461.71	2	1	0	1	1	1
