onset	duration	outcome	house_old	chose_old	truecond	condchosen
      0	2	1	0	0	2	2
 11.072	2	1	1	1	2	2
 25.634	2	1	1	1	2	2
  33.71	2	0	0	1	2	1
 41.803	2	1	0	0	2	2
 52.395	2	1	1	1	2	2
 63.946	2	0	1	1	2	2
  75.53	2	0	0	1	2	1
 83.606	2	1	0	0	2	2
 91.699	2	1	1	1	2	2
 99.759	2	1	0	0	2	2
109.821	2	1	1	1	2	2
119.387	2	0	1	1	1	2
128.969	2	1	0	NaN	1	2
142.042	2	0	1	1	1	2
164.116	2	0	0	0	1	2
182.699	2	0	1	1	1	2
200.802	2	1	1	0	1	1
208.878	2	0	1	1	1	2
219.453	2	1	0	1	1	1
227.546	2	0	0	0	1	2
241.099	2	1	1	0	1	1
250.664	2	1	1	1	1	2
 260.23	2	0	0	1	1	1
 268.29	2	1	1	0	1	1
277.855	2	1	0	1	1	1
296.935	2	0	0	0	1	2
306.517	2	0	1	0	1	1
321.592	2	0	1	1	1	2
336.204	2	0	1	1	1	2
347.291	2	0	1	NaN	1	2
359.372	2	1	0	1	1	1
371.122	2	1	1	0	1	1
382.193	2	1	0	1	1	1
396.772	2	1	1	0	1	1
404.848	2	1	0	1	1	1
412.941	2	0	0	0	1	2
423.532	2	1	1	0	1	1
435.133	2	0	1	1	1	2
451.714	2	0	0	1	1	1
459.807	2	0	0	0	1	2
  467.9	2	0	1	1	1	2
477.978	2	1	1	1	1	2
487.577	2	0	0	0	1	2
497.159	2	1	0	1	1	1
510.232	2	1	1	1	1	2
523.273	2	0	0	0	1	2
541.822	2	0	1	1	1	2
553.919	2	0	1	1	1	2
565.503	2	1	0	1	1	1
575.085	2	1	0	1	1	1
 590.64	2	1	1	0	1	1
598.717	2	0	1	0	1	1
612.303	2	0	0	0	1	2
621.901	2	1	0	1	1	1
631.467	2	0	1	1	1	2
 639.56	2	1	0	1	1	1
665.158	2	1	1	0	1	1
674.757	2	0	0	0	1	2
682.816	2	1	1	0	1	1
692.878	2	1	0	1	1	1
707.457	2	0	1	0	1	1
718.545	2	0	0	0	1	2
730.592	2	0	1	1	1	2
742.327	2	0	1	1	1	2
764.865	2	0	1	1	1	2
772.907	2	1	1	0	1	1
780.951	2	1	0	0	1	2
791.492	2	1	0	1	1	1
803.027	2	0	1	1	1	2
814.578	2	1	1	0	1	1
822.605	2	1	0	1	1	1
830.648	2	1	1	0	1	1
838.691	2	1	0	1	1	1
848.737	2	0	0	0	1	2
858.286	2	1	1	0	1	1
877.845	2	0	1	0	1	1
890.885	2	0	1	1	1	2
902.932	2	0	1	1	1	2
912.465	2	1	0	1	1	1
924.512	2	0	1	1	1	2
936.046	2	1	0	1	1	1
945.595	2	0	1	0	1	1
953.639	2	1	0	1	1	1
964.197	2	1	0	1	1	1
972.241	2	1	1	0	1	1
985.793	2	1	1	0	1	1
1001.84	2	1	0	1	1	1
1009.89	2	1	0	1	1	1
1019.44	2	1	1	1	1	2
1038.47	2	0	1	0	1	1
1048.02	2	0	0	1	2	1
1056.06	2	0	0	1	2	1
 1066.1	2	0	1	0	2	1
1080.65	2	1	0	0	2	2
 1100.7	2	1	1	1	2	2
1112.46	2	1	1	1	2	2
1123.49	2	1	0	1	2	1
1138.04	2	1	0	0	2	2
 1151.1	2	1	1	1	2	2
1161.64	2	0	1	1	2	2
1173.17	2	1	0	0	2	2
1184.72	2	0	0	1	2	1
1192.77	2	1	1	1	2	2
1200.81	2	0	0	1	2	1
1215.87	2	1	1	1	2	2
1225.42	2	1	0	1	2	1
1234.97	2	1	1	1	2	2
1248.02	2	1	0	0	2	2
1261.06	2	1	1	1	2	2
1273.11	2	0	0	1	2	1
1282.66	2	0	1	1	2	2
1294.71	2	0	0	1	2	1
1306.26	2	1	1	1	2	2
1315.81	2	1	1	1	2	2
1323.85	2	1	0	0	2	2
1334.39	2	0	0	1	2	1
1342.44	2	0	1	0	2	1
1355.99	2	0	1	1	2	2
1365.54	2	0	0	1	2	1
1375.09	2	0	0	1	2	1
1383.13	2	0	1	0	2	1
1392.68	2	0	0	1	2	1
1411.72	2	1	1	1	2	2
1421.27	2	1	1	1	2	2
1429.32	2	1	0	1	2	1
1439.36	2	1	1	1	2	2
1461.92	2	0	0	1	2	1
