onset	duration	outcome	house_old	chose_old	truecond	condchosen
      0	2	0	0	0	1	2
 11.038	2	0	1	1	1	2
  30.58	2	1	0	1	1	1
 38.623	2	1	1	0	1	1
 49.165	2	1	0	1	1	1
   60.7	2	0	1	0	1	1
 72.251	2	1	0	1	1	1
 80.294	2	1	1	0	1	1
 88.321	2	1	0	1	1	1
 96.364	2	1	1	0	1	1
112.895	2	0	0	1	1	1
122.444	2	1	1	0	1	1
135.501	2	1	0	0	2	2
148.541	2	0	1	0	2	1
160.588	2	1	1	0	2	1
170.137	2	0	0	1	2	1
190.689	2	0	1	0	2	1
200.221	2	1	0	0	2	2
208.265	2	1	0	0	2	2
218.807	2	1	1	1	2	2
 226.85	2	1	1	1	2	2
246.905	2	1	0	0	2	2
256.454	2	0	1	1	2	2
264.497	2	1	0	0	2	2
 274.03	2	0	0	1	2	1
293.076	2	1	1	1	2	2
302.625	2	1	1	1	2	2
310.668	2	1	0	0	2	2
320.713	2	0	1	1	1	2
335.259	2	0	0	0	1	2
346.314	2	1	0	1	1	1
358.361	2	1	1	0	1	1
370.062	2	0	1	0	1	1
  381.1	2	1	1	0	1	1
395.645	2	1	0	1	1	1
403.689	2	1	1	0	1	1
419.244	2	0	0	1	1	1
430.778	2	1	1	0	1	1
442.329	2	1	1	0	1	1
455.386	2	1	0	1	1	1
463.429	2	0	1	0	2	1
473.474	2	1	0	1	2	1
483.023	2	0	0	1	2	1
492.572	2	0	1	0	2	1
505.612	2	1	1	1	2	2
518.652	2	1	0	0	2	2
  530.7	2	1	1	1	2	2
540.232	2	1	1	1	2	2
552.263	2	1	1	1	2	2
563.814	2	0	0	0	2	2
573.346	2	1	1	1	2	2
 581.39	2	1	0	0	2	2
591.932	2	0	1	1	2	2
599.975	2	1	0	0	2	2
613.528	2	0	0	0	1	2
629.579	2	0	1	1	1	2
637.622	2	1	1	0	1	1
647.171	2	1	0	1	1	1
666.217	2	1	0	1	1	1
675.766	2	1	1	0	1	1
 683.81	2	1	1	0	1	1
693.855	2	1	0	1	1	1
708.401	2	0	0	0	1	2
728.456	2	1	1	0	1	1
740.158	2	1	1	0	1	1
754.704	2	0	0	1	1	1
762.731	2	1	0	1	1	1
770.774	2	0	1	0	2	1
781.316	2	0	1	0	2	1
801.355	2	1	0	0	2	2
809.398	2	0	1	1	2	2
817.441	2	1	0	0	2	2
825.485	2	1	0	0	2	2
 835.53	2	1	1	1	2	2
845.079	2	1	1	1	2	2
854.628	2	0	0	0	2	2
867.668	2	1	1	1	2	2
880.708	2	1	0	0	2	2
892.755	2	1	0	0	2	2
902.304	2	1	1	1	2	2
914.352	2	0	1	1	1	2
925.903	2	1	1	1	1	2
935.435	2	0	0	0	1	2
943.479	2	1	1	0	1	1
959.033	2	1	0	1	1	1
972.586	2	1	1	1	1	2
982.119	2	0	1	1	1	2
996.665	2	1	0	1	1	1
1006.21	2	1	1	0	1	1
1025.26	2	1	0	1	1	1
1034.81	2	0	0	1	1	1
1042.85	2	1	1	0	1	1
 1052.9	2	1	1	0	1	1
1067.44	2	1	0	1	1	1
 1078.5	2	1	1	0	1	1
1090.54	2	0	1	0	2	1
1102.23	2	0	1	0	2	1
1113.27	2	1	0	0	2	2
1127.81	2	0	1	1	2	2
1135.86	2	0	0	0	2	2
 1143.9	2	0	1	0	2	1
1154.44	2	0	0	1	2	1
1165.98	2	1	0	0	2	2
1182.52	2	1	1	1	2	2
1190.57	2	1	1	1	2	2
1198.61	2	1	0	0	2	2
1208.66	2	1	0	0	2	2
 1218.2	2	1	1	1	2	2
1227.75	2	1	1	1	2	2
1240.81	2	0	0	0	1	2
1253.85	2	0	0	0	1	2
 1272.4	2	1	1	0	1	1
1284.45	2	0	0	1	1	1
   1296	2	1	1	0	1	1
1310.56	2	1	0	1	1	1
1321.12	2	1	1	0	1	1
1329.16	2	1	0	1	1	1
1342.72	2	0	1	0	1	1
1352.26	2	1	0	1	1	1
1361.81	2	1	1	0	1	1
1369.86	2	1	0	1	1	1
1379.39	2	1	1	0	2	1
1404.94	2	0	0	1	2	1
1412.98	2	0	1	1	2	2
1423.03	2	1	0	0	2	2
1437.57	2	1	1	1	2	2
1448.63	2	1	1	1	2	2
1460.67	2	1	0	0	2	2
