onset	duration	outcome	house_old	chose_old	truecond	condchosen
      0	2	1	0	0	2	2
 11.071	2	1	1	1	2	2
 25.634	2	1	1	1	2	2
  33.71	2	1	0	0	2	2
 41.803	2	1	0	0	2	2
 52.394	2	0	1	1	2	2
 63.962	2	1	1	1	2	2
 75.546	2	1	0	0	2	2
 83.589	2	1	0	0	2	2
 91.682	2	1	1	1	2	2
 99.742	2	1	0	0	2	2
109.804	2	1	1	1	2	2
 119.37	2	0	1	1	1	2
128.952	2	0	0	0	1	2
142.041	2	1	1	0	1	1
164.115	2	0	0	1	1	1
182.698	2	1	1	0	1	1
200.784	2	1	1	0	1	1
208.844	2	0	1	0	1	1
219.402	2	1	0	1	1	1
227.495	2	1	0	1	1	1
241.032	2	1	1	0	1	1
250.597	2	1	1	0	1	1
260.163	2	1	0	1	1	1
268.239	2	1	1	0	1	1
277.821	2	0	0	1	2	1
  296.9	2	1	0	1	2	1
306.483	2	0	1	0	2	1
321.558	2	0	1	1	2	2
336.153	2	1	1	1	2	2
347.241	2	1	1	1	2	2
359.338	2	1	0	0	2	2
371.087	2	1	1	1	2	2
382.142	2	0	0	0	2	2
396.704	2	1	1	1	2	2
404.781	2	1	0	0	2	2
412.857	2	1	0	0	2	2
423.432	2	1	1	1	2	2
434.999	2	0	1	1	1	2
 451.58	2	1	0	1	1	1
459.673	2	0	0	0	1	2
 467.75	2	0	1	1	1	2
477.828	2	0	1	0	1	1
487.427	2	1	0	1	1	1
497.009	2	1	0	1	1	1
510.082	2	1	1	0	1	1
523.122	2	1	0	1	1	1
541.688	2	1	1	0	1	1
553.785	2	1	1	0	1	1
565.369	2	0	0	0	1	2
574.951	2	1	0	1	1	1
590.506	2	0	1	0	1	1
598.582	2	1	1	0	1	1
612.185	2	1	0	1	2	1
621.767	2	0	0	1	2	1
631.333	2	0	1	0	2	1
639.426	2	1	0	0	2	2
665.007	2	0	1	1	2	2
674.589	2	1	0	0	2	2
682.666	2	1	1	1	2	2
692.744	2	1	0	0	2	2
707.323	2	1	1	1	2	2
 718.41	2	1	0	0	2	2
730.458	2	1	1	1	2	2
742.208	2	0	1	1	2	2
764.761	2	1	1	1	2	2
772.805	2	0	1	1	1	2
780.848	2	1	0	1	1	1
 791.39	2	1	0	1	1	1
802.924	2	0	1	1	1	2
814.475	2	1	1	0	1	1
822.518	2	1	0	1	1	1
830.562	2	0	1	0	1	1
838.605	2	1	0	1	1	1
 848.65	2	1	0	1	1	1
858.199	2	1	1	0	1	1
877.758	2	0	1	1	1	2
890.798	2	0	1	1	1	2
902.846	2	1	1	0	1	1
912.395	2	1	0	1	1	1
924.442	2	1	1	0	1	1
935.993	2	0	0	1	1	1
945.525	2	1	1	1	2	2
953.569	2	1	0	0	2	2
964.127	2	1	0	0	2	2
 972.17	2	0	1	1	2	2
985.723	2	1	1	1	2	2
1001.76	2	1	0	0	2	2
 1009.8	2	1	0	0	2	2
1019.35	2	1	1	1	2	2
 1038.4	2	1	1	1	2	2
1047.94	2	1	0	0	2	2
1055.99	2	1	0	0	2	2
1066.03	2	1	1	1	2	2
1080.58	2	0	0	0	1	2
1100.63	2	0	1	1	1	2
1112.38	2	0	1	0	1	1
1123.42	2	1	0	1	1	1
1137.97	2	1	0	1	1	1
1151.02	2	1	1	0	1	1
1161.57	2	1	1	0	1	1
 1173.1	2	1	0	1	1	1
1184.65	2	0	0	1	1	1
 1192.7	2	1	1	0	1	1
1200.74	2	1	0	1	1	1
 1215.8	2	1	1	0	1	1
1225.33	2	1	0	1	1	1
1234.88	2	1	1	0	2	1
1247.94	2	0	0	1	2	1
1260.98	2	1	1	0	2	1
1273.02	2	0	0	1	2	1
1282.57	2	0	1	0	2	1
1294.62	2	0	0	1	2	1
1306.17	2	0	1	0	2	1
1315.72	2	1	1	1	2	2
1323.75	2	0	0	0	2	2
 1334.3	2	1	0	0	2	2
1342.35	2	1	1	1	2	2
 1355.9	2	1	1	1	2	2
1365.45	2	0	0	NaN	2	1
1374.98	2	1	0	0	2	2
1383.02	2	1	1	1	2	2
1392.57	2	1	0	0	2	2
 1411.6	2	0	1	0	2	1
1421.15	2	0	1	1	2	2
1429.18	2	1	0	0	2	2
1439.22	2	0	1	1	1	2
1461.78	2	1	0	1	1	1
