onset	duration	outcome	house_old	chose_old	truecond	condchosen
      0	2	1	0	1	1	1
 11.055	2	0	1	1	1	2
  30.63	2	0	0	0	1	2
 38.723	2	0	1	NaN	1	2
 49.281	2	1	0	1	1	1
 60.849	2	1	1	0	1	1
  72.45	2	0	0	1	1	1
 80.526	2	1	1	0	1	1
 88.619	2	1	0	1	1	1
 96.712	2	1	1	0	1	1
113.309	2	1	0	1	1	1
122.891	2	0	1	0	1	1
135.981	2	1	0	1	1	1
 149.07	2	1	1	0	2	1
161.134	2	0	1	NaN	2	1
170.667	2	0	0	1	2	1
191.218	2	0	1	0	2	1
200.784	2	1	0	0	2	2
208.877	2	1	0	0	2	2
219.468	2	1	1	1	2	2
227.511	2	1	1	1	2	2
  247.6	2	1	0	0	2	2
257.165	2	1	1	1	2	2
265.242	2	0	0	0	2	2
274.824	2	1	0	0	2	2
293.903	2	1	1	1	2	2
303.485	2	1	1	1	2	2
311.561	2	0	0	0	1	2
321.656	2	0	1	1	1	2
336.251	2	0	0	NaN	1	2
347.322	2	1	0	0	1	2
359.419	2	1	1	0	1	1
371.136	2	0	1	NaN	1	2
382.207	2	0	1	1	1	2
396.786	2	0	0	0	1	2
 404.83	2	1	1	0	1	1
420.418	2	1	0	1	1	1
431.985	2	0	1	0	1	1
443.552	2	1	1	0	1	1
456.626	2	1	0	1	1	1
464.702	2	1	1	0	1	1
474.797	2	0	0	1	1	1
484.346	2	1	0	1	1	1
493.911	2	0	1	NaN	1	2
506.984	2	1	1	0	1	1
520.058	2	0	0	1	2	1
532.121	2	0	1	0	2	1
541.703	2	1	1	1	2	2
553.768	2	1	1	1	2	2
565.335	2	1	0	0	2	2
574.933	2	1	1	1	2	2
 583.01	2	1	0	0	2	2
593.585	2	1	1	1	2	2
601.628	2	0	0	0	2	2
615.214	2	1	0	0	2	2
631.282	2	1	1	1	2	2
639.342	2	0	1	1	2	2
648.907	2	1	0	1	1	1
 667.97	2	0	0	0	1	2
677.535	2	0	1	NaN	1	2
685.611	2	1	1	0	1	1
 695.69	2	1	0	1	1	1
710.269	2	1	0	1	1	1
730.324	2	1	1	0	1	1
742.025	2	1	1	1	1	2
 756.57	2	0	0	NaN	1	2
764.597	2	1	0	1	1	1
772.641	2	1	1	1	1	2
783.182	2	0	1	1	1	2
803.221	2	0	0	0	1	2
811.248	2	1	1	0	1	1
819.291	2	1	0	1	1	1
827.318	2	1	0	1	1	1
837.363	2	0	1	0	1	1
846.912	2	1	1	0	1	1
856.461	2	0	0	NaN	1	2
869.501	2	1	1	0	1	1
882.541	2	0	0	1	1	1
894.588	2	1	0	1	1	1
904.137	2	1	1	0	1	1
916.185	2	1	1	0	1	1
927.735	2	0	1	0	2	1
937.251	2	0	0	1	2	1
945.295	2	0	1	0	2	1
 960.85	2	0	0	NaN	2	1
974.386	2	1	1	1	2	2
983.935	2	0	1	1	2	2
 998.48	2	1	0	1	2	1
1008.03	2	1	1	1	2	2
1027.07	2	1	0	0	2	2
1036.62	2	1	0	0	2	2
1044.67	2	0	1	0	2	1
1054.71	2	1	1	1	2	2
1069.26	2	1	0	0	2	2
1080.31	2	1	1	1	2	2
1092.36	2	1	1	1	2	2
1104.08	2	1	1	1	2	2
1115.12	2	0	0	0	1	2
1129.66	2	1	1	0	1	1
 1137.7	2	0	0	1	1	1
1145.76	2	0	1	NaN	1	2
1156.29	2	0	0	NaN	1	2
1167.81	2	0	0	NaN	1	2
1184.35	2	0	1	NaN	1	2
1192.38	2	1	1	1	1	2
1200.42	2	0	0	0	1	2
1210.45	2	1	0	1	1	1
   1220	2	1	1	0	1	1
1229.55	2	1	1	0	1	1
1242.61	2	1	0	1	1	1
1255.65	2	1	0	1	1	1
1274.18	2	0	1	0	1	1
1286.23	2	0	0	NaN	1	2
1297.76	2	0	1	1	1	2
1312.31	2	0	0	1	1	1
1322.87	2	0	1	1	1	2
1330.91	2	1	0	1	1	1
1344.46	2	0	1	1	1	2
1354.01	2	1	0	1	1	1
1363.54	2	1	1	0	1	1
1371.59	2	1	0	1	1	1
1381.14	2	1	1	0	1	1
1406.68	2	1	0	1	1	1
1414.73	2	1	1	0	1	1
1424.77	2	0	0	0	1	2
 1439.3	2	1	1	0	1	1
1450.36	2	0	1	0	1	1
 1462.4	2	1	0	NaN	1	2
