onset	duration	outcome	house_old	chose_old	truecond	condchosen
      0	2	1	0	1	1	1
 11.072	2	1	1	0	1	1
 25.634	2	1	1	0	1	1
  33.71	2	1	0	1	1	1
 41.803	2	1	0	1	1	1
 52.395	2	0	1	0	1	1
 63.946	2	1	1	0	1	1
  75.53	2	1	0	1	1	1
 83.589	2	1	0	1	1	1
 91.682	2	1	1	0	1	1
 99.759	2	1	0	1	1	1
109.821	2	1	1	0	1	1
119.386	2	0	1	0	2	1
128.968	2	0	0	1	2	1
142.058	2	1	1	1	2	2
164.132	2	0	0	0	2	2
182.698	2	1	1	1	2	2
200.801	2	1	1	1	2	2
208.861	2	0	1	1	2	2
219.436	2	1	0	0	2	2
227.529	2	1	0	0	2	2
241.082	2	1	1	1	2	2
250.664	2	1	1	1	2	2
 260.23	2	1	0	0	2	2
268.306	2	1	1	1	2	2
277.888	2	0	0	0	1	2
296.983	2	0	0	1	1	1
306.565	2	1	1	0	1	1
321.624	2	1	1	0	1	1
336.219	2	1	1	0	1	1
347.307	2	1	1	0	1	1
359.387	2	0	0	1	1	1
371.136	2	1	1	0	1	1
 382.19	2	1	0	1	1	1
396.753	2	1	1	0	1	1
404.829	2	1	0	1	1	1
412.922	2	1	0	1	2	1
423.513	2	0	1	0	2	1
435.081	2	0	1	0	2	1
451.661	2	0	0	1	2	1
459.754	2	1	0	0	2	2
467.831	2	0	1	1	2	2
477.909	2	1	1	1	2	2
487.508	2	1	0	0	2	2
497.074	2	1	0	0	2	2
 510.13	2	1	1	1	2	2
 523.17	2	1	0	0	2	2
541.736	2	1	1	1	2	2
553.833	2	0	1	0	2	1
565.384	2	1	0	0	2	2
 574.95	2	0	0	0	2	2
590.505	2	1	1	0	1	1
598.581	2	1	1	0	1	1
612.184	2	0	0	1	1	1
621.782	2	1	0	1	1	1
631.348	2	1	1	0	1	1
639.424	2	1	0	1	1	1
665.022	2	1	1	0	1	1
674.588	2	1	0	1	1	1
682.664	2	1	1	0	1	1
692.743	2	0	0	1	1	1
707.321	2	1	1	0	1	1
718.409	2	0	0	1	2	1
730.456	2	1	1	0	2	1
742.206	2	0	1	0	2	1
 764.76	2	0	1	0	2	1
772.803	2	1	1	1	2	2
780.847	2	1	0	0	2	2
791.388	2	1	0	0	2	2
802.923	2	1	1	1	2	2
814.474	2	0	1	1	2	2
822.517	2	1	0	0	2	2
 830.56	2	1	1	1	2	2
838.604	2	1	0	0	2	2
848.649	2	1	0	0	2	2
858.198	2	1	1	1	2	2
877.757	2	0	1	1	1	2
890.797	2	0	1	1	1	2
902.844	2	1	1	0	1	1
912.393	2	0	0	1	1	1
924.441	2	0	1	NaN	1	2
935.992	2	1	0	1	1	1
945.524	2	1	1	0	1	1
953.567	2	0	0	0	1	2
 964.11	2	1	0	1	1	1
972.152	2	0	1	1	1	2
985.705	2	0	1	NaN	1	2
1001.74	2	1	0	0	1	2
1009.78	2	0	0	0	1	2
1019.32	2	1	1	1	1	2
1038.34	2	0	1	1	1	2
1047.89	2	0	0	0	1	2
1055.94	2	0	0	1	1	1
1065.98	2	0	1	1	1	2
1080.53	2	0	0	0	1	2
1100.58	2	0	1	1	1	2
1112.33	2	1	1	0	1	1
1123.37	2	1	0	1	1	1
1137.92	2	1	0	1	1	1
1150.97	2	1	1	0	1	1
1161.52	2	1	1	0	1	1
1173.05	2	1	0	1	1	1
 1184.6	2	1	0	1	1	1
1192.64	2	1	1	0	1	1
1200.67	2	0	0	1	1	1
1215.73	2	1	1	0	1	1
1225.28	2	0	0	1	2	1
1234.83	2	1	1	1	2	2
1247.88	2	1	0	0	2	2
1260.92	2	1	1	1	2	2
1272.97	2	1	0	0	2	2
1282.52	2	0	1	1	2	2
1294.57	2	1	0	0	2	2
1306.12	2	1	1	1	2	2
1315.67	2	1	1	1	2	2
1323.69	2	1	0	0	2	2
1334.22	2	1	0	0	2	2
1342.26	2	0	1	1	2	2
1355.82	2	1	1	1	2	2
1365.37	2	0	0	0	1	2
1374.91	2	1	0	1	1	1
1382.96	2	1	1	0	1	1
1392.51	2	1	0	1	1	1
1411.55	2	1	1	0	1	1
 1421.1	2	1	1	0	1	1
1429.14	2	0	0	1	1	1
1439.19	2	1	1	0	1	1
1461.74	2	1	0	1	1	1
